学力検査実施教科数,学力検査の得点と調査書点の比率,学力検査を実施しない教科の評定の扱い（倍）,学校数,平成27年度面接実施校数,平成28年度面接実施校数
５教科,7：3,－,－,－,－
５教科,6：4,1.3,3,－,－
５教科,5：5,1.3,4,－,－
３教科,7：3,－,－,－,－
３教科,6：4,－,－,－,－
３教科,5：5,1.2,3,3,0
