番号,回答内容,区市町村合計
1,関係機関における人材育成,28
2,ボランティア等の育成、活用,45
3,家庭での読書活動の推進,41
4,公立図書館のサービスの充実,37
5,地域（図書館を除く）での読書活動の推進,27
6,学校での読書活動の推進,37
7,関係機関との連携,41
8,その他,2
9,特になし,2
注）複数回答可,,
