自治体名,人口,自治体面積（k㎡）,A　施設各自治体の図書館（設置）条例に記載された図書館数,A　施設サービスポイント数,A　施設自動車図書館台数（台）,A　施設自動車図書館巡回箇所,A　施設年間開館日数,B　蔵書数図書総数(冊),B　蔵書数図書総数内訳うち児童資料,B　蔵書数図書総数内訳うち外国語資料,B　蔵書数図書総数内訳うち地域資料（郷土及び行政資料）,B　蔵書数図書総数内訳うち閉架資料 ,B　蔵書数雑誌（種） ,B　蔵書数新聞（種）,B　蔵書数レコード（枚） ,B　蔵書数カセット（巻） ,B　蔵書数 ＣＤ（枚） ,B　蔵書数ＬＤ（枚）,B　蔵書数ビデオ（巻）,B　蔵書数DVD（枚）,B　蔵書数フィルム（巻）,B　蔵書数その他（点） ,C　サービス・貸出・予約来館者数（人）       ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)   ,C　サービス・貸出・予約個人貸出登録者登録者総数(人)内訳うち児童      ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人)       ,C　サービス・貸出・予約個人貸出登録者有効登録者数(人) 内訳うち自治体内有効登録者数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊),C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち自治体内貸出数,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち児童資料      ,C　サービス・貸出・予約個人貸出貸出冊数貸出総数(冊)内訳うち視聴覚資料   ,C　サービス・貸出・予約団体貸出団体数      ,C　サービス・貸出・予約団体貸出貸出冊数（冊）      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳23区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳多摩地区へ      ,C　サービス・貸出・予約他自治体への貸出貸出総数(冊)内訳他県その他へ      ,C　サービス・貸出・予約予約受付予約受付総数(冊),C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳所蔵資料を提供 ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳購入して提供      ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳都立から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳23区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳多摩地区から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳他県から     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳国会     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳大学等     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳他から借用して提供内訳不明     ,C　サービス・貸出・予約予約受付予約受付総数(冊)予約内訳未提供等,C　サービス・貸出・予約文献複写枚数（枚）,C　サービス・貸出・予約参考業務専用カウンター設置数（館）,C　サービス・貸出・予約参考業務受付件数（件）,D　電子資料等の利用利用者向けCD-ROMの利用可能館数,D　電子資料等の利用利用者向けｲﾝﾀｰﾈｯﾄ情報の利用可能館数,D　電子資料等の利用利用者向け商用ｵﾝﾗｲﾝﾃﾞｰﾀﾍﾞｰｽの利用可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用館外貸出可能館数,D　電子資料等の利用利用者向け電子書籍サービスの利用機器提供館数,E　職員数館長専任事務,E　職員数館長専任司書資格あり,E　職員数館長兼任事務,E　職員数館長兼任司書資格あり,E　職員数館長その他非常勤資格なし,E　職員数館長その他非常勤資格あり,E　職員数館長その他PFI・指定管理資格なし,E　職員数館長その他PFI・指定管理資格あり,E　職員数常勤職員（人）総数,E　職員数常勤職員（人）総数うち司書,E　職員数非常勤職員（人）総数,E　職員数非常勤職員（人）総数うち司書,E　職員数臨時職員（人）総数,E　職員数臨時職員（人）総数うち司書,F　運営形態・ボランティアの受入運営形態直営(委託なし）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳窓口業務一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳装備一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳資料搬送（車）一部導入,F　運営形態・ボランティアの受入運営形態直営（一部業務委託導入）（館）内訳その他委託,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳業務全部,F　運営形態・ボランティアの受入運営形態PFI・指定管理による運営（館）内訳一部除外業務あり,F　運営形態・ボランティアの受入ボランティアの受入児童サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入配架・製本・補修（館）,F　運営形態・ボランティアの受入ボランティアの受入障害者サービス（館）,F　運営形態・ボランティアの受入ボランティアの受入その他（館）,G　図書館の予算（千円）図書館費(a+b+c+d+e+f)（一般職員給料は除く） ,G　図書館の予算（千円）経常費資料費総額(ｱ+ｲ+ｳ+ｴ+ｵ),G　図書館の予算（千円）経常費 a ア図書費（千円）,G　図書館の予算（千円）経常費 a ア図書費（千円）うち児童関係図書費（千円）,G　図書館の予算（千円）経常費 a イ雑誌・新聞費（千円）,G　図書館の予算（千円）経常費 a ウ視聴覚資料費（千円）,G　図書館の予算（千円）経常費 a エその他図書館資料費（千円）,G　図書館の予算（千円）経常費 a オ資料費区分せず(千円),G　図書館の予算（千円）経常費 ｂ 賃金・報酬（千円）,G　図書館の予算（千円）経常費 ｃ 講師・謝礼（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）,G　図書館の予算（千円）経常費 ｄ 委託費（千円）うち図書館関連委託費（千円）,G　図書館の予算（千円）経常費 ｅ その他の図書館費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）,G　図書館の予算（千円）臨時的経費 ｆ 臨時的経費（千円）うち臨時資料費（千円）,H　備考備考
東京都,"13,840,468","2,194.07",2,0,0,0,386,"2,696,207","251,771","318,044","262,498","1,770,594","26,136","1,389","4,048","1,138","1,726",643,"6,298","1,767","11,510",377,"81,602",未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,未実施,"59,681","9,440","49,719",522,33,0,0,33,0,0,0,24,9,0,0,0,"731,301",2,"48,276",2,2,2,0,2,1,0,1,0,0,0,0,0,98,70,43.7,21.9,7.4,0,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,"1,963,844","317,008","171,128","5,040","73,470","1,016","71,394",0,"115,769","15,618","650,398","650,398","299,223","565,828",0,"令和2年2月29日から5月31日まで、新型コロナウイルス感染症拡大防止対策のため臨時休館。
令和2年12月28日から令和3年3月31日まで、新型コロナウイルス感染症拡大防止対策のため来館サービス休止。"
千代田区,"67,140",11.66,5,0,0,0,"1,533","536,827","50,372","7,273","24,678","142,559",845,89,0,195,"18,077",0,784,"1,999",0,0,"679,258","60,374","3,003","20,783","5,406","627,577","312,462","151,359","32,086",31,"2,429","2,168","2,041",115,12,"232,082",不明,不明,"2,302",364,"1,856",61,不明,不明,不明,11,不明,"153,926",2,"7,877",1,4,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,1,0,"317,358","83,555","63,824",不明,図書費に含む,"2,482","17,249",0,0,未取得,"117,953",不明,"115,850",0,0,"Ｃサービス・貸出・予約　全館：来館者数及び個人貸出/登録者/有効登録者数が昨年の約半数
【減少の原因】→　令和２年4月8日～5月31日　緊急事態宣言発出に伴い、全館臨時休館"
中央区,"170,946",10.21,3,0,0,0,879,"615,771","114,595","1,419","77,134","292,077",680,52,0,263,"28,003",0,899,"1,415",429,0,"770,173","83,573","11,228","38,548","27,134","1,366,148","1,078,337","538,752","107,904",112,"10,005","1,913","1,807",93,13,"433,195","427,995",不明,"5,200",161,"4,876",142,21,0,0,0,不明,"66,701",3,"6,162",0,3,3,0,0,1,0,0,0,0,0,0,2,11,0,17.9,16.9,0,0,0,1,1,0,0,3,3,0,0,2,0,2,3,0,3,0,"1,602,521","63,610","46,410",不明,"8,982","4,429","3,789",0,"50,854",344,"327,675","65,710","55,935","1,104,103","22,000",令和２年４月８日から令和２年５月２６日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
港区,"258,821",20.37,7,4,0,0,"2,012","1,129,802","294,747","32,235","47,097","249,627","1,444",105,0,574,"55,687","1,795","2,252","17,564",642,313,"1,403,001","110,869","8,975","110,869","61,689","1,885,127","1,364,349","733,905","180,716",405,"23,374","6,177","5,622",338,217,"89,584","79,207","4,133","5,912",458,"5,117",323,0,4,10,不明,332,未取得,3,未取得,0,7,7,0,0,1,0,0,0,0,0,2,4,17,0,15.8,15.8,0,0,0,1,0,1,0,1,1,0,1,6,6,0,1,0,0,0,"1,480,926","131,270","95,842","22,049","18,578","11,130","5,720",0,不明,"1,121","851,534","851,534","92,840","404,161","46,306",
新宿区,"344,577",18.22,11,1,0,0,"2,763","1,050,646","300,482","8,970","33,759","148,282","1,998",179,"4,801","1,100","49,698",0,"1,623","7,404",551,0,"1,264,941","86,767","12,083","49,447","36,022","2,274,000","1,752,828","753,742","184,647",532,"46,771","4,764","4,325",422,17,"922,195","912,032","3,805","5,908",401,"5,240",208,14,32,13,0,450,"69,494",11,"10,123",11,11,11,0,0,1,1,0,0,0,0,5,5,42,15,24,22,0,0,0,2,0,0,0,1,1,0,1,9,9,0,10,6,6,1,"1,107,330","146,417","97,616","25,014","23,916","11,682","13,203",0,0,"3,876","740,099","740,099","192,929","24,009",0,令和2年4月11日から5月31日まで、全館で新型コロナウイルス感染症拡大防止のため臨時休館。
文京区,"226,653",11.29,10,1,0,0,"2,896","1,187,522","288,089","7,301","27,042","333,166","1,437",122,"19,712",728,"135,018",0,"2,504","2,173",0,0,"1,083,653","304,390","14,340","55,568","41,166","3,393,419","2,657,204","1,037,948","480,385",444,"70,452","5,181","4,694",346,141,"1,610,471","1,366,660","18,874","11,472",681,"10,343",404,44,0,0,0,"213,465","114,888",10,"1,711",10,10,2,1,0,1,0,0,0,0,0,2,7,22,15,5,4,0,0,0,1,0,1,1,0,1,0,1,9,9,0,8,4,2,4,"1,317,504","112,282","74,903","11,275","19,771","16,218","1,390",0,"16,715",361,"1,085,330","1,085,330","95,556","7,260",0,令和２年４月８日から５月２６日まで、全館で新型コロナウイルス感染症拡大防止のため臨時休館。
台東区,"203,988",10.11,5,2,0,0,"1,262","600,999","131,658","3,456","21,692","132,140",801,93,0,0,"33,179",0,"1,022","4,601",192,0,"710,573","88,976","8,159","28,101","21,758","1,243,546",不明,"390,705","118,255",569,"18,135","2,686",未取得,未取得,未取得,"422,024",未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,未取得,"33,966",1,未取得,0,1,1,0,0,3,0,0,0,0,0,0,0,33,2,30.1,21.1,1.8,0,0,5,5,0,0,5,5,0,5,0,0,0,2,0,0,0,"557,471","61,877","45,137","9,158","10,727","4,249","1,764",0,"61,665","1,402","313,218","198,053","119,309",0,0,令和２年４月９日から５月２６日まで、全館で新型コロナウイルス感染症防止対策のため臨時休館。さらに中央図書館は令和１２月２９日・３０日及び令和３年１月３日、浅草橋分館は令和３年４月２５日から５月３１日までも合わせて、新型コロナウイルス感染症防止対策のため臨時休館。
墨田区,"275,975",13.77,4,0,0,0,"1,172","554,079","144,381","2,522","25,190",不明,770,96,0,7,"14,544",0,0,"2,672",0,0,"632,808","77,882","7,275","31,654","27,084","1,158,824","995,138","403,549","76,698","1,342","40,987","5,007","4,561",181,265,"473,363",不明,不明,"3,066",138,"2,785",133,10,不明,0,0,不明,"54,782",1,111,0,4,4,0,0,0,1,0,0,0,0,0,3,20,10,14.4,9.6,0,0,0,1,1,0,1,0,1,0,1,3,0,3,4,0,4,1,"603,050","68,711",不明,不明,不明,"1,484",不明,"67,227","36,637","1,606","377,937","330,364","118,159",0,0,令和2年4月9日から5月31日まで、新型コロナウイルス感染拡大防止対策のため全館臨時休館。
江東区,"526,621",40.16,10,1,0,0,"3,234","1,537,334","376,951","10,338","34,172","281,284","1,961",267,0,"1,399","35,582",0,"2,143","4,614",0,0,"2,632,262","171,546","19,579","82,346",不明,"4,839,888",不明,"1,702,319","165,887",379,"69,550","10,875","9,316","1,368",191,"1,844,733","1,591,586","3,009","8,249",320,"7,429",412,32,47,9,0,"241,889","137,981",7,"18,436",0,11,11,0,0,2,0,0,0,0,0,1,7,26,8,0,0,0,0,0,3,3,0,3,0,3,0,0,8,8,0,11,0,11,0,"1,909,832","181,616","141,483",不明,"32,416","5,151","2,566",0,0,"5,483","961,425",不明,"253,548","507,760","63,804","令和2年3月2日～4月7日及び5月26日～31日まで新型コロナウイルス感染防止のため、全館で閲覧等一部サービス中止。
令和2年4月8日～5月25日まで新型コロナウイルス感染拡大防止のため、全館で休館。
（臨時的経費）白河こどもとしょかん改築事業及び深川図書館改修事業に係る経費"
品川区,"406,083",22.84,11,4,0,0,"3,269","1,123,856","279,808","8,505","29,747","278,894","1,496",141,0,"2,139","64,901",0,"1,758","11,338",0,153,"1,521,453","169,344","16,074","78,566","63,617","2,581,305","2,210,022","942,966","310,120",199,"25,545","6,135","5,783",210,142,"1,160,863",不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,未取得,1,"56,553",1,11,2,0,0,1,0,0,0,0,0,10,0,24,5,3,2,0,0,0,1,1,0,1,0,11,0,1,10,10,0,11,0,1,1,"1,322,652","56,453","38,606","8,951","4,840","6,568","6,439",0,0,"2,048","971,066","968,493","182,688","110,397","3,749",令和２年４月９日から５月２５日まで、全館で新型コロナウイルス感染症拡大防止対策のため臨時休館。
