職層,管理職・局長（理事）,管理職・部長,管理職・統括課長,管理職・課長,管理職計,監督職・課長補佐,監督職・係長,監督職計,一般職・主任,一般職・3～1級職,一般職計,合計
人数（人）,65,870,366,2230,3531,2925,9940,12865,14562,17214,31776,48172
構成割合（%）,0.1,1.8,0.8,4.6,7.3,6.1,20.6,26.7,30.2,35.8,66.0,100.0
