,読んだ（％）,読んでいない（％）,無回答（％）
全体,86.4,10.2,3.5
小１,94.8,2.2,3.1
小２,94.6,2.1,3.3
小３,92.7,3.5,3.8
小４,95.9,0.9,3.2
小５,94.6,1.1,4.3
小６,95.6,1.0,3.5
中１,95.2,2.5,2.4
中２,93.4,4.1,2.5
中３,91.2,5.9,3.0
高１,82.0,14.0,3.9
高２,77.9,18.3,3.8
高３,78.5,18.2,3.3
高４,68.2,26.1,5.7
