,新宿／国,新宿／数,新宿／英,国分寺／国,国分寺／数,国分寺／英,墨田川／国,墨田川／数,墨田川／英
平成28年度入学者選抜,▲,●,◆,－,●,－,▲,●,▲
平成27年度入学者選抜,▲,▲,◆,－,－,－,▲,▲,▲
平成26年度入学者選抜,▲,▲,●,－,－,－,▲,▲,●
注）●：大問１題の差し替え ◆：大問１題の差し替え＋ 小問一部の差し替え ▲：小問一部の差し替え,,,,,,,,,
