区市町村名,学校名,科名（分野）,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
墨田,橘,産業,147,95,120,215,1.46
八王子,八王子桑志,ﾃﾞｻﾞｲﾝ分野,49,16,69,85,1.73
八王子,八王子桑志,ｸﾗﾌﾄ分野,25,35,10,45,1.80
八王子,八王子桑志,ｼｽﾃﾑ情報分野,25,49,8,57,2.28
八王子,八王子桑志,ﾋﾞｼﾞﾈｽ情報分野,49,29,29,58,1.18
八王子,八王子桑志,計,148,129,116,245,1.66
産業科計,,,295,224,236,460,1.56
