区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
千代田,日比谷,普通科,,2,1,2,1,2,"8/2,3",8/4,8/4,,,
港,三田,普通科,2,2,,1,2,1,"8/2,3",8/4,8/4,○,○,
新宿,戸山,普通科,1,2,1,,1,1,"8/8,9",8/10,8/10,○,,
文京,竹早,普通科,1,2,,1,1,2,"8/8,9",8/10,8/10,○,○,
文京,向丘,普通科,2,2,1,1,2,9,"8/2,3",8/4,8/4,,,○
台東,上野,普通科,2,2,2,3,1,1,"8/8,9",8/10,8/10,○,,○
台東,白鴎,普通科,,4,,12,,9,"8/8,9",8/10,8/10,○,,
墨田,日本橋,普通科,1,2,,4,1,12,"8/8,9",8/10,8/10,○,,
墨田,本所,普通科,1,2,,,,5,"8/2,3",8/4,8/4,○,,○
墨田,両国,普通科,,2,,2,,11,"8/2,3",8/4,8/4,,,
江東,城東,普通科,2,2,,2,1,2,"8/2,3",8/4,8/4,○,,○
江東,東,普通科,1,2,,2,1,7,"8/2,3",8/4,8/4,○,,
江東,深川,普通科,1,2,1,2,1,4,"8/8,9",8/10,8/10,○,○,
品川,大崎,普通科,1,2,1,4,1,8,"8/8,9",8/10,8/10,○,○,
品川,小山台,普通科,1,2,1,,1,8,"8/8,9",8/10,8/10,○,○,
品川,八潮,普通科,2,2,2,24,2,53,"8/2,3",8/4,8/4,○,,
目黒,駒場,普通科,2,2,2,2,2,3,"8/22,23",8/24,8/24,,○,
目黒,目黒,普通科,,2,1,1,1,10,"8/8,9",8/10,8/10,○,○,
大田,大森,普通科,1,2,1,37,1,29,"8/8,9",8/10,8/10,○,,
大田,蒲田,普通科,1,2,1,32,1,52,"8/8,9",8/10,8/10,○,,
大田,田園調布,普通科,2,2,1,3,1,4,"8/2,3",8/4,8/4,○,○,
大田,雪谷,普通科,1,2,1,2,1,5,"8/2,3",8/4,8/4,,○,
世田谷,桜町,普通科,1,2,2,10,2,13,"8/8,9",8/10,8/10,○,○,
