大問,小問,配点（点）,（注１）,小問正答率（％）,大問正答率（％）
1,1,2,,77.8,
1,2,2,,89.2,
1,3,2,,68.7,
1,4,2,,89.4,
1,5,2,,94.1,
1,1／2／3／4／5,10,,,83.9
2,1,2,,61.5,
2,2,2,,25.5,
2,3,2,,53.6,
2,4,2,,66.0,
2,5,2,,77.6,
2,1／2／3／4／5,10,,,56.8
3,※〔問1〕,5,,55.1,
3,※〔問2〕,5,,69.2,
3,※〔問3〕,5,,98.5,
3,※〔問4〕,5,,90.5,
3,※〔問5〕,5,,95.0,
3,※〔問1〕／※〔問2〕／※〔問3〕／※〔問4〕／※〔問5〕,25,,,81.7
4,※〔問1〕,5,,51.5,
4,※〔問2〕,5,,65.1,
4,※〔問3〕,5,,63.8,
4,※〔問4〕,5,,60.6,
4,〔問5〕,10,☆,75.3,
4,※〔問1〕／※〔問2〕／※〔問3〕／※〔問4〕／〔問5〕,30,☆,,63.3
5,※〔問1〕,5,,57.2,
5,※〔問2〕,5,,60.8,
5,※〔問3〕,5,,63.5,
5,※〔問4〕,5,,52.9,
5,※〔問5〕,5,,66.3,
5,※〔問1〕／※〔問2〕／※〔問3〕／※〔問4〕／※〔問5〕,25,,,60.2
（注１）☆は部分正答も含めた割合,,,,,
（注２）※は記号選択式の問題,,,,,
