区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,41.0,39.4,9.7,3.0,0.9,5.9
平日今年度,67.8,18.4,9.4,2.1,0.0,2.3
