区市町村名,学校名,科名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
世田谷,園芸,園芸,49,22,26,48,0.98
世田谷,園芸,食品,25,16,31,47,1.88
世田谷,園芸,動物,25,21,53,74,2.96
世田谷,園芸,計,99,59,110,169,1.71
杉並,農芸,園芸科学,25,16,16,32,1.28
杉並,農芸,食品科学,49,21,46,67,1.37
杉並,農芸,緑地環境,25,15,6,21,0.84
杉並,農芸,計,99,52,68,120,1.21
葛飾,農産,園芸ﾃﾞｻﾞｲﾝ,49,39,32,71,1.45
葛飾,農産,食品,49,20,37,57,1.16
葛飾,農産,計,98,59,69,128,1.31
府中,農業,都市園芸,25,19,22,41,1.64
府中,農業,食品科学,25,12,17,29,1.16
府中,農業,緑地計画,25,23,11,34,1.36
府中,農業,計,75,54,50,104,1.39
瑞穂,瑞穂農芸,園芸科学,25,10,7,17,0.68
瑞穂,瑞穂農芸,畜産科学,25,8,21,29,1.16
瑞穂,瑞穂農芸,食品,25,12,14,26,1.04
瑞穂,瑞穂農芸,計,75,30,42,72,0.96
農業計,,,446,254,339,593,1.33
