番号,回答内容,区市町村合計
1,青少年の興味・関心に合ったコーナーの設置,45
2,青少年が主体となった図書館事業の企画,16
3,青少年向けの本を紹介したリーフレットの作成、またはHP上での発信,43
4,青少年を対象としたイベントの実施,27
5,その他,6
注）複数回答可,,
