区分,学校経営（％）,学外関係者対応（％）,調査・報告（％）,児童・生徒の指導、管理（％）,研修（％）,その他（％）
平日昨年度,59.7,19.8,6.7,9.2,0.0,4.6
平日今年度,70.8,18.3,4.5,6.4,0.0,0.0
