区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
新宿区,博物館,＊?新宿区立新宿歴史博物館,新宿区三栄町22,35.689939,139.725701,JGD2011,03-3359-2131,登録
墨田区,博物館,＊?すみだ郷土文化資料館,墨田区向島2-3-5,35.713933,139.805883,JGD2011,03-5619-7034,登録
大田区,博物館,＊?大田区立郷土博物館,大田区南馬込5-11-13,35.588544,139.710657,JGD2011,03-3777-1070,登録
世田谷区,博物館,＊?郷土資料館,世田谷区世田谷1-29-18,35.641310,139.647183,JGD2011,03-3429-4237,登録
世田谷区,博物館,＊?世田谷美術館,世田谷区砧公園1-2,35.631840,139.622030,JGD2011,03-3415-6011,相当
世田谷区,博物館,＊?世田谷文学館,世田谷区南烏山1-10-10,35.667036,139.608907,JGD2011,03-5374-9111,相当
杉並区,博物館,＊?杉並区立郷土博物館,杉並区大宮1-20-8,35.685999,139.645498,JGD2011,03-3317-0841,登録
杉並区,博物館,＊?杉並区立郷土博物館分館,杉並区天沼3-23-1,35.708819,139.621154,JGD2011,03-5347-9801,登録
練馬区,博物館,＊?練馬区立美術館,練馬区貫井1-36-16,35.736971,139.636105,JGD2011,03-3577-1821,相当
足立区,博物館,＊?郷土博物館,足立区大谷田5-20-1,35.784462,139.841403,JGD2011,03-3620-9393,登録
葛飾区,博物館,＊?葛飾区郷土と天文の博物館,葛飾区白鳥3-25-1,35.752868,139.843365,JGD2011,03-3838-1101,登録
八王子市,博物館,＊?八王子市郷土資料館,八王子市上野町33,35.655920,139.326140,JGD2011,042-622-8939,登録
青梅市,博物館,＊?青梅市郷土博物館,青梅市駒木町1-684,35.783794,139.256720,JGD2011,0428-23-6859,登録
青梅市,博物館,＊?青梅市立美術館,青梅市滝ﾉ上町1346-1,35.787547,139.255959,JGD2011,0428-24-1195,登録
府中市,博物館,＊?府中市美術館,府中市浅間町1-3,35.678885,139.492177,JGD2011,042-336-3371,登録
府中市,博物館,＊?府中市郷土の森博物館,府中市南町6-32,35.656682,139.473166,JGD2011,042-368-7921,登録
調布市,博物館,＊?調布市郷土博物館,調布市小島町3-26-2,35.646888,139.536198,JGD2011,042-481-7656,登録
調布市,博物館,＊?調布市郷土博物館分室,調布市布田6-61,35.643715,139.548462,JGD2011,042-481-7651,登録
東村山市,博物館,＊?東村山ふるさと歴史館,東村山市諏訪町1-6-3,35.766694,139.466322,JGD2011,042-396-3800,登録
東大和市,博物館,＊?東大和市立郷土博物館,東大和市奈良橋1-260-2,35.755184,139.422970,JGD2011,042-567-4800,登録
清瀬市,博物館,＊?清瀬市郷土博物館,清瀬市上清戸2-6-41,35.779761,139.520928,JGD2011,042-493-8585,
武蔵村山市,博物館,＊?歴史民俗資料館,武蔵村山市本町5-21-1,35.762357,139.387322,JGD2011,042-560-6620,
羽村市,博物館,＊?羽村市郷土博物館,羽村市羽741,35.755144,139.303426,JGD2011,042-558-2561,登録
,,,,,,,,施設名の前に＊印のあるものは、各施設関連情報掲載サイトへのリンクがあります。
