区市町村名,学校名,科名,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
港,芝商業,商業,161,51,87,138,0.86
江東,江東商業,総合ﾋﾞｼﾞﾈｽ,123,20,53,73,0.59
江東,第三商業,商業,168,54,162,216,1.29
渋谷,第一商業,商業,168,60,75,135,0.80
北,赤羽商業,商業,168,66,101,167,0.99
練馬,第四商業,商業,112,51,82,133,1.19
練馬,第四商業,情報処理,49,53,20,73,1.49
練馬,第四商業,計,161,104,102,206,1.28
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ,147,62,114,176,1.20
葛飾,葛飾商業,商業,112,44,64,108,0.96
葛飾,葛飾商業,情報処理,49,45,22,67,1.37
葛飾,葛飾商業,計,161,89,86,175,1.09
国立,第五商業,商業,168,92,170,262,1.56
あきる野,五日市,商業,56,25,42,67,1.20
商業計,,,1481,623,992,1615,1.09
