区分,延設置校数,実設置校数,延学級数,総学校数,設置割合(%),,,,,,,,,,
特別区,270,231,499,877,26.3,,,,,,,,,,
多摩地区,170,138,303,440,31.4,,,,,,,,,,
町村部,181,147,315,476,30.9,,,,,,,,,,
合計,451,378,814,"1,353",27.9,,,,,,,,,,
