大問,小問,配点（点）,（注１）,小問正答率（％）,大問正答率（％）
1,※〔問 1〕,4,,60.1,
1,※〔問 2〕,4,,55.3,
1,※〔問 3〕,4,,55.1,
1,※〔問 4〕,4,,61.2,
1,※〔問 5〕,4,,38.7,
1,※〔問 6〕,4,,57.5,
1,※〔問 7〕,4,,29.8,
1,※〔問 1〕／※〔問 2〕／※〔問 3〕／※〔問 4〕／※〔問 5〕／※〔問 6〕／※〔問 7〕,28,,,51.1
2,※〔問 1〕,4,,67.6,
2,※〔問 2〕,4,,77.6,
2,※〔問 3〕,4,,46.8,
2,※〔問 4〕,4,,22.5,
2,※〔問 1〕／※〔問 2〕／※〔問 3〕／※〔問 4〕,16,,,53.6
3,※〔問 1〕,4,,77.5,
3,※〔問 2〕,4,,67.5,
3,※〔問 3〕,4,,77.0,
3,※〔問 1〕／※〔問 2〕／※〔問 3〕,12,,,74.0
4,※〔問 1〕,4,,77.8,
4,※〔問 2〕,4,,67.9,
4,※〔問 3〕,4,,54.1,
4,※〔問 4〕,4,,12.1,
4,※〔問 1〕／※〔問 2〕／※〔問 3〕／※〔問 4〕,16,,,53.0
5,※〔問 1〕,4,,73.5,
5,※〔問 2〕,4,,61.9,
5,〔問 3〕,4,☆,52.4,
5,※〔問 1〕／※〔問 2〕／〔問 3〕,12,☆,,62.6
6,※〔問 1〕,4,,21.8,
6,〔問 2〕,4,☆,65.8,
6,〔問 3〕,4,☆,23.3,
6,※〔問 4〕,4,,26.2,
6,※〔問 1〕／〔問 2〕／〔問 3〕／※〔問 4〕,16,☆,,34.3
（注１）☆は部分正答も含めた割合,,,,,
（注２）※は記号選択式の問題,,,,,
