区分,7年度,8年度,9年度,10年度,11年度,12年度,13年度,14年度,15年度
小学校(人),4624,4754,4872,5023,5301,5393,5595,6013,6481
中学校(人),1533,1619,1662,1739,1691,1825,1921,2032,2090
合計(人),6157,6373,6534,6762,6992,7218,7516,8045,8571
