大問,小問,配点（点）,（注１）,小問正答率（％）,大問正答率（％）
1,〔問 1〕,5,,92.9,
1,〔問 2〕,5,,95.0,
1,〔問 3〕,5,,70.6,
1,〔問 4〕,5,,91.2,
1,〔問 5〕,5,,94.8,
1,〔問 6〕,5,,83.9,
1,※〔問 7〕,5,,74.5,
1,〔問 8〕,5,,49.3,
1,〔問 9〕,6,☆,67.3,
1,〔問 1〕／〔問 2〕／〔問 3〕／〔問 4〕／〔問 5〕／〔問 6〕／※〔問 7〕／〔問 8〕／〔問 9〕,46,☆,,79.9
2,※〔問 1〕,5,,68.8,
2,〔問 2〕,7,☆,11.0,
2,※〔問 1〕／〔問 2〕,12,☆,,39.9
3,〔問 1〕,5,,81.5,
3,〔問 2〕①,5,,20.8,
3,〔問 2〕②,5,,3.5,
3,〔問 1〕／〔問 2〕①／〔問 2〕②,15,,,35.3
4,※〔問 1〕,5,,42.7,
4,〔問 2〕①,7,☆,53.7,
4,〔問 2〕②,5,,9.5,
4,※〔問 1〕／〔問 2〕①／〔問 2〕②,17,☆,,35.3
5,〔問 1〕,5,,33.8,
5,〔問 2〕,5,,2.6,
5,〔問 1〕／〔問 2〕,10,,,18.2
（注１）☆は部分正答も含めた割合,,,,,
（注２）※は記号選択式の問題,,,,,
