学科,,,第１学年,第２学年,第３学年,第４学年,計,備考
普通科,,募集人員,302,306,387,470,1465,
普通科,,募集校延べ数,19,18,21,21,21,足立商業科併置
専門学科,商業科,募集人員,60,66,94,74,294,
専門学科,商業科,募集校延べ数,5,5,5,5,5,葛飾商業普通科併置
専門学科,工業科,募集人員,133,168,195,227,723,
専門学科,工業科,募集校延べ数,8,9,9,9,9,
専門学科,農業科,募集人員,17,32,37,43,129,
専門学科,農業科,募集校延べ数,3,4,4,4,4,農業普通科併置
専門学科,併合科,募集人員,12,25,9,34,80,
専門学科,併合科,募集校延べ数,1,2,1,2,2,
専門学科,産業科,募集人員,8,13,24,27,72,
専門学科,産業科,募集校延べ数,1,1,1,1,1,
専門学科,専門学科計,募集人員,230,304,359,405,1298,
専門学科,専門学科計,募集校延べ数,18,21,20,21,21,
学年制計,,募集人員,532,610,746,875,2763,
学年制計,,募集校延べ数,37,39,41,42,42,募集校実数39校
