区市町村名,学校名,科名,募集人員（男女問わず）,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率
江東,科学技術,科学技術,147,221,25,246,1.67
小金井,多摩科学技術,科学技術,147,231,41,272,1.85
科学技術科計,,,294,452,66,518,1.76
