,そう思う,少しそう思う,あまりそう思わない,思わない
5 自分でどうすればよいか考える,983,1222,576,264
16 ボーツとする,1228,924,498,395
4 友だちとおしゃべりしたり、メールをしたりする,1212,795,551,487
2 何もしたくなくなる,1135,858,560,492
6 趣味に夢中になる,1161,790,704,390
7 イライラする,1061,849,687,448
13 がまんする,716,1002,774,553
20 誰かに相談する,806,852,735,652
9 悩んでいることを人に知られないようにする,713,886,915,531
18 仕方がないとあきらめる,511,937,989,608
10 インターネットやゲームで遊ぶ,657,657,693,1038
15 スポーツに熱中する,692,570,726,1057
3 自分の部屋にこもる,579,570,797,1099
19 何も考えられなくなる,510,615,956,964
17 物にあたる,535,584,805,1121
11 人にあたる,309,665,1006,1065
14 体調がくずれる,444,502,787,1312
1 思い切り大声を出す,386,554,953,1152
8 自分を傷つける,239,353,857,1596
12 やけ食いをする,212,293,830,1710
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
