"年","東京都[人]","23区[人]","千代田区[人]","中央区[人]","港区[人]","新宿区[人]","文京区[人]","台東区[人]","墨田区[人]","江東区[人]","品川区[人]","目黒区[人]","大田区[人]","世田谷区[人]","渋谷区[人]","中野区[人]","杉並区[人]","豊島区[人]","北区[人]","荒川区[人]","板橋区[人]","練馬区[人]","足立区[人]","葛飾区[人]","江戸川区[人]"
"1995","11734920","7935211","34758","63807","144233","276011","172332","152961","215421","365575","325180","241676","634844","780798","188235","304379","508004","243919","333004","176833","509578","630366","621347","423951","587999"
"2000","12017253","8092268","36016","72233","159336","286173","175872","156073","215865","376784","322682","239489","650323","796874","196337","309513","520095","248201","326671","180441","512459","654150","616064","421496","619121"
"2005","12415786","8351955","41683","98220","185732","303808","189564","163528","231092","420827","344888","248749","664027","820320","199280","310392","522582","233141","330345","191163","507799","643687","622500","424823","653805"
"2010","13159388","8945695","47115","122762","205131","326309","206626","175928","247606","460819","365302","268330","693373","877138","204492","314750","549569","284678","335544","203296","535824","716124","683426","442586","678967"
"2015","13515271","9272740","58406","141183","243283","333560","219724","198073","256274","498109","386855","277622","717082","903346","224533","328215","563997","291167","341076","212264","561916","721722","670122","442913","681298"

"令和2年度港区行政資料集　都・区別昼夜間人口の推移(夜間人口)","Ver202003",,,,,,,,,,,,,,,,,,,,,,,,
