"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","家庭における省エネルギープログラム","148","28.7"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","二酸化炭素吸収量の増加に貢献できる国産木材の利用や森づくりへの支援","74","14.4"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","ごみの減量やリサイクル活動（古着の拠点回収や資源回収など）","209","40.6"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","ごみの減量・リサイクルや食品ロスの削減に取り組む　店舗の利用","187","36.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","地域の清掃活動","105","20.4"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","地域の緑化活動","146","28.3"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","身近な自然や生き物の観察会","86","16.7"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","環境に関する学習や体験ができるイベント","74","14.4"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","その他","7","1.4"
"202003","区の取組","Q9. すべての方にお聞きします。今後、区民と区が協力して取り組む環境に関する活動に参加するとすれば、どのような活動に興味がありますか。（○はいくつでも）","特にない","119","23.1"

"港区の環境に関する区民アンケート（Web）調査結果・単純集計表・区の取組Q9","Ver202003",,,,
