地域階層,地域コード,地域,令和5年1月1日現在／世帯数(世帯),令和5年1月1日現在／人口／総数(人),令和5年1月1日現在／人口／男(人),令和5年1月1日現在／人口／女(人),人口密度1km2につき（令和5年）(人/km2),令和4年1月1日現在／世帯数(世帯),令和4年1月1日現在／人口／総数(人),令和4年1月1日現在／人口／男(人),令和4年1月1日現在／人口／女(人),差引増減人口（人口総数）(人),増減率 (人口総数)(%)
0,13000,総数,7451051,13841665,6797186,7044479,6308.7282,7354402,13794933,6775557,7019376,46732,0.34
1,13100,区部,5333350,9569211,4692166,4877045,15249.0096,5254558,9522872,4669453,4853419,46339,0.49
4,13101,千代田区,38548,67911,34009,33902,5824.271,37773,67049,33485,33564,862,1.29
4,13102,中央区,98723,174074,82760,91314,17049.3634,96535,171419,81477,89942,2655,1.55
4,13103,港区,149488,261615,123068,138547,12843.1517,145951,257183,120947,136236,4432,1.72
4,13104,新宿区,223207,346279,173881,172398,19005.4336,216903,341222,170950,170272,5057,1.48
4,13105,文京区,126436,229653,109221,120432,20341.2755,123199,226332,107576,118756,3321,1.47
4,13106,台東区,128550,207479,105761,101718,20522.1563,124181,203709,103990,99719,3770,1.85
4,13107,墨田区,162280,279985,138030,141955,20332.9702,157015,275724,136233,139491,4261,1.55
4,13108,江東区,283280,532882,261969,270913,12389.7233,276477,525952,258679,267273,6930,1.32
4,13109,品川区,228925,404196,197659,206537,17696.8476,226858,403699,197634,206065,497,0.12
4,13110,目黒区,157952,278635,131372,147263,18993.5242,156910,278276,131291,146985,359,0.13
4,13111,大田区,401856,728425,361782,366643,11775.3799,398254,728703,361634,367069,-278,-0.04
4,13112,世田谷区,491585,915439,433385,482054,15769.8363,489372,916208,433723,482485,-769,-0.08
4,13113,渋谷区,140597,229412,109921,119491,15182.7929,139386,229013,110012,119001,399,0.17
4,13114,中野区,209150,333593,168181,165412,21397.8833,206061,332017,167199,164818,1576,0.47
4,13115,杉並区,325953,570786,274060,296726,16758.2501,323702,569703,273272,296431,1083,0.19
4,13116,豊島区　,181268,288704,144719,143985,22190.9301,176253,283342,141957,141385,5362,1.89
4,13117,北区,202565,353732,175784,177948,17163.1247,198967,351278,174369,176909,2454,0.7
4,13118,荒川区,119134,216814,107662,109152,21339.9606,117089,215543,106982,108561,1271,0.59
4,13119,板橋区,320619,568241,278023,290218,17636.2818,316494,567214,277674,289540,1027,0.18
4,13120,練馬区,385142,738914,357649,381265,15368.4276,381830,738358,357736,380622,556,0.08
4,13121,足立区,365583,690114,345515,344599,12959.8873,359923,689106,344922,344184,1008,0.15
4,13122,葛飾区,243962,464175,231362,232813,13338.3621,239622,462083,230439,231644,2092,0.45
4,13123,江戸川区,348547,688153,346393,341760,13790.6413,345803,689739,347272,342467,-1586,-0.23
1,13200,市部,2076976,4192930,2064780,2128150,5348.4661,2059057,4191666,2065343,2126323,1264,0.03
4,13201,八王子市,279627,562145,280886,281259,3016.123,276046,561758,280789,280969,387,0.07
4,13202,立川市,95713,185483,91867,93616,7614.2447,94682,185124,91887,93237,359,0.19
4,13203,武蔵野市,78281,147964,70860,77104,13475.7741,78187,148025,70796,77229,-61,-0.04
4,13204,三鷹市,96249,189916,92633,97283,11566.1389,96169,190590,93133,97457,-674,-0.35
4,13205,青梅市,64640,130274,65420,64854,1261.0009,64324,131124,65846,65278,-850,-0.65
4,13206,府中市,128686,259924,130035,129889,8831.9402,127939,260253,130324,129929,-329,-0.13
4,13207,昭島市,56276,114259,56769,57490,6589.331,55690,113829,56574,57255,430,0.38
4,13208,調布市,122585,238505,116003,122502,11052.1316,121783,237939,115778,122161,566,0.24
4,13209,町田市,205310,430831,210535,220296,6021.3976,202985,430385,210497,219888,446,0.1
4,13210,小金井市,62753,124756,61376,63380,11040.354,62328,124617,61271,63346,139,0.11
4,13211,小平市,95738,196924,96432,100492,9601.3652,94183,195361,95754,99607,1563,0.8
4,13212,日野市,92594,187254,93632,93622,6796.8784,91736,187304,93665,93639,-50,-0.03
