地域階層,地域コード,地域,年少人口(0～14歳)／総数(人),年少人口(0～14歳)／男(人),年少人口(0～14歳)／女(人),生産年齢人口(15～64歳)／総数(人),生産年齢人口(15～64歳)／男(人),生産年齢人口(15～64歳)／女(人),老年人口(65歳以上)／総数(人),老年人口(65歳以上)／男(人),老年人口(65歳以上)／女(人)
4,13222,東久留米市,13604,6945,6659,67541,34388,33153,33312,14320,18992
4,13223,武蔵村山市,8901,4560,4341,41599,21684,19915,19027,8463,10564
4,13224,多摩市,15818,8057,7761,86253,44152,42101,43081,18866,24215
4,13225,稲城市,12932,6657,6275,58535,30082,28453,20308,9189,11119
4,13227,羽村市,6084,3170,2914,32281,17139,15142,14517,6504,8013
4,13228,あきる野市,9164,4696,4468,45211,23458,21753,24269,10966,13303
4,13229,西東京市,24404,12411,11993,126906,63801,63105,49585,21215,28370
1,13550,町村部,8629,4442,4187,41784,22520,19264,27693,12571,15122
2,13300,郡部,5953,3052,2901,29274,15622,13652,19019,8517,10502
4,13303,瑞穂町,3317,1679,1638,18404,9800,8604,9555,4347,5208
4,13305,日の出町,2152,1119,1033,8152,4287,3865,5953,2609,3344
4,13307,檜原村,151,74,77,807,451,356,1070,481,589
4,13308,奥多摩町,333,180,153,1911,1084,827,2441,1080,1361
2,13350,島部,2676,1390,1286,12510,6898,5612,8674,4054,4620
3,13360,大島支庁,1226,625,601,5974,3271,2703,4436,2014,2422
4,13361,大島町,689,358,331,3619,2009,1610,2730,1236,1494
4,13362,利島村,47,26,21,192,108,84,73,38,35
4,13363,新島村,234,109,125,1218,641,577,1029,455,574
4,13364,神津島村,256,132,124,945,513,432,604,285,319
3,13380,三宅支庁,293,160,133,1304,766,538,964,492,472
4,13381,三宅村,241,129,112,1123,674,449,906,460,446
4,13382,御蔵島村,52,31,21,181,92,89,58,32,26
3,13400,八丈支庁,767,402,365,3505,1902,1603,2838,1295,1543
4,13401,八丈町,749,393,356,3392,1839,1553,2801,1270,1531
4,13402,青ヶ島村,18,9,9,113,63,50,37,25,12
3,13420,小笠原支庁,390,203,187,1727,959,768,436,253,183
4,13421,小笠原村,390,203,187,1727,959,768,436,253,183
,,,,,,,,,,,
住民基本台帳による東京都の世帯と人口　令和5年1月,,,,,,,,,,,
第３－２表　区市町村、年齢３区分別人口（日本人）,,,,,,,,,,,
注）本表には年齢不詳者を含まない。,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:大島支庁・三宅支庁・八丈支庁・小笠原支庁　4:区市町村）,,,,,,,,,,,
