"選挙名称","時現在","合計[人]","開票率[%]","残票[票]"
"令和2年7月5日執行　東京都知事選挙","21:40","18000","18.2","80917"
"令和2年7月5日執行　東京都知事選挙","22:30","93500","94.52","5417"
"令和2年7月5日執行　東京都知事選挙","23:09","97582","100","0"

"令和2年7月5日執行　東京都知事選挙開票推移","Ver202007",,,
