"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018 ","特別区税","77296440","55.7","77966460","54.6"
"2018 ","地方譲与税","436401","0.3","436401","0.3"
"2018 ","利子割交付金","250000","0.2","250000","0.2"
"2018 ","配当割交付金","700000","0.5","1180000","0.8"
"2018 ","株式等譲渡所得割交付金","480000","0.3","480000","0.3"
"2018 ","地方消費税交付金","10841311","7.8","11929311","8.4"
"2018 ","自動車取得税交付金","202000","0.1","202000","0.1"
"2018 ","交通安全対策特別交付金","45000","0.0","45000","0.0"
"2018 ","地方特例交付金","50000","0.0","50000","0.0"
"2018 ","特別区交付金","1500001","1.1","1500001","1.1"
"2018 ","分担金及び負担金","1744279","1.3","1744279","1.2"
"2018 ","使用料及び手数料","7896817","5.7","7896817","5.5"
"2018 ","国庫支出金","13850184","10.0","12624689","8.8"
"2018 ","都支出金","7206486","5.2","8343485","5.8"
"2018 ","財産収入","564217","0.4","1161124","0.8"
"2018 ","寄附金","168150","0.1","246150","0.2"
"2018 ","繰入金","10951136","7.9","9180215","6.4"
"2018 ","繰越金","2000000","1.4","4969650","3.5"
"2018 ","諸収入","2697578","1.9","2644487","1.9"
"2018 ","特別区債","0","0.0","0","0.0"
"2018","歳入合計","138880000","100.0","142850069","100.0"
"2019","特別区税","80021097","56.5",,
"2019","地方譲与税","445401","0.3",,
"2019","利子割交付金","250000","0.2",,
"2019","配当割交付金","900000","0.6",,
"2019","株式等譲渡所得割交付金","744000","0.5",,
"2019","地方消費税交付金","11330000","8.0",,
"2019","自動車取得税交付金","100000","0.1",,
"2019","交通安全対策特別交付金","45000","0.0",,
"2019","環境性能割交付金","40000","0.0",,
"2019","地方特例交付金","50000","0.0",,
"2019","特別区交付金","1500001","1.1",,
"2019","分担金及び負担金","1942413","1.4",,
"2019","使用料及び手数料","9127254","6.4",,
"2019","国庫支出金","14685281","10.4",,
"2019","都支出金","9113963","6.4",,
"2019","財産収入","570904","0.4",,
"2019","寄附金","173709","0.1",,
"2019","繰入金","5892598","4.2",,
"2019","繰越金","2000000","1.4",,
"2019","諸収入","2638379","1.9",,
"2019","特別区債","0","0.0 ",,
"2019","歳入合計","141570000","100.0",,

"令和元年度港区行政資料集　 一般会計歳入予算（款別）","Ver201903",,,,
