"市区町村コード","番号","都道府県名","市区町村名","住宅の所在地","住宅の方書","制限区域","管理業者名","届出年月日","URL","備考","最終確認日","経度","緯度","分類"
"131148","68","東京都","中野区","東京都中野区本町3-33-8","ハウスモデスト101","外","株式会社ZenHOMES","2020/02/25 0:00:00","","","2021/02/02 0:00:00","139.673916573006","35.6972659426477","住宅宿泊事業届出住宅一覧"
"131148","69","東京都","中野区","東京都中野区本町4-36-3","201","外","YUAIホーム株式会社","2019/06/26 0:00:00","","","2021/02/02 0:00:00","139.668499628797","35.6940379233333","住宅宿泊事業届出住宅一覧"
"131148","70","東京都","中野区","東京都中野区本町4-36-3","203","外","YUAIホーム株式会社","2018/07/05 0:00:00","","","2021/02/02 0:00:00","139.668499628797","35.6940379233333","住宅宿泊事業届出住宅一覧"
"131148","71","東京都","中野区","東京都中野区本町4-36-3","205","外","YUAIホーム株式会社","2018/07/05 0:00:00","","","2021/02/02 0:00:00","139.668499628797","35.6940379233333","住宅宿泊事業届出住宅一覧"
"131148","72","東京都","中野区","東京都中野区本町4-36-3","206","外","YUAIホーム株式会社","2018/07/05 0:00:00","","","2021/02/02 0:00:00","139.668499628797","35.6940379233333","住宅宿泊事業届出住宅一覧"
"131148","73","東京都","中野区","東京都中野区本町4-44-5","TMマンション105","外","株式会社ZenHOMES","2019/06/14 0:00:00","","","2021/02/02 0:00:00","139.669399601897","35.6966899328893","住宅宿泊事業届出住宅一覧"
"131148","74","東京都","中野区","東京都中野区本町4-44-5","TMマンション306","外","株式会社ZenHOMES","2019/02/07 0:00:00","","","2021/02/02 0:00:00","139.669399601897","35.6966899328893","住宅宿泊事業届出住宅一覧"
"131148","75","東京都","中野区","東京都中野区本町4-44-7","203","外","株式会社ﾚｳｽ","2018/11/26 0:00:00","","","2021/02/02 0:00:00","139.669414599659","35.696948933693","住宅宿泊事業届出住宅一覧"
"131148","76","東京都","中野区","東京都中野区本町6-24-8","","内","","2019/07/05 0:00:00","","","2021/02/02 0:00:00","139.663936637775","35.6958809207504","住宅宿泊事業届出住宅一覧"
"131148","77","東京都","中野区","東京都中野区本町6-27-7","","内","","2018/12/21 0:00:00","","","2021/02/02 0:00:00","139.663051632828","35.697040922657","住宅宿泊事業届出住宅一覧"
"131148","78","東京都","中野区","東京都中野区中央1-2-5","","内","K-carvelife株式会社","2018/10/05 0:00:00","","","2021/02/02 0:00:00","139.68674850303","35.6978449678723","住宅宿泊事業届出住宅一覧"
