"地域","備蓄倉庫 設置箇所[か所]","備蓄倉庫 面積[平方メートル]","消火器設置本数[本]"
"芝","39","4821","371"
"麻布","23","1765","297"
"赤坂","22","1908","278"
"高輪","19","1457","362"
"芝浦港南","23","3427","189"
"合計","126","13378","1497"

"令和元年度港区行政資料集　備蓄倉庫・消火器設置状況","Ver201904",,
