"年月日[西暦]","町丁目","事業所数","従業者数[人]"
"20120201","赤坂１丁目","718","21092"
"20120201","赤坂２丁目","946","19131"
"20120201","赤坂３丁目","860","11836"
"20120201","赤坂４丁目","444","8374"
"20120201","赤坂５丁目","236","13639"
"20120201","赤坂６丁目","318","7712"
"20120201","赤坂７丁目","441","5491"
"20120201","赤坂８丁目","221","7280"
"20120201","赤坂９丁目","324","11130"
"20120201","麻布十番１丁目","238","2414"
"20120201","麻布十番２丁目","263","2004"
"20120201","麻布十番３丁目","79","707"
"20120201","麻布十番４丁目","24","336"
"20120201","麻布台１丁目","152","3415"
"20120201","麻布台２丁目","69","1583"
"20120201","麻布台３丁目","78","580"
"20120201","愛宕１丁目","73","785"
"20120201","愛宕２丁目","52","2777"
"20120201","海岸１丁目","324","20293"
"20120201","海岸２丁目","80","2588"
"20120201","海岸３丁目","302","16231"
"20120201","北青山１丁目","187","4626"
"20120201","北青山２丁目","382","10845"
"20120201","北青山３丁目","587","21282"
"20120201","港南１丁目","158","23175"
"20120201","港南２丁目","787","57029"
"20120201","港南３丁目","73","1552"
"20120201","港南４丁目","95","3134"
"20120201","港南５丁目","79","1626"
"20120201","芝１丁目","212","4956"
"20120201","芝２丁目","619","20415"
"20120201","芝３丁目","492","15740"
"20120201","芝４丁目","425","10810"
"20120201","芝５丁目","996","48631"
"20120201","芝浦１丁目","248","25135"
"20120201","芝浦２丁目","191","5941"
"20120201","芝浦３丁目","396","14931"
"20120201","芝浦４丁目","338","19813"
"20120201","芝公園１丁目","147","3204"
"20120201","芝公園２丁目","243","9141"
"20120201","芝公園３丁目","153","2742"
"20120201","芝公園４丁目","82","3694"
"20120201","芝大門１丁目","557","13885"
"20120201","芝大門２丁目","528","7144"
"20120201","白金１丁目","283","5607"
"20120201","白金２丁目","37","355"
"20120201","白金３丁目","145","843"
"20120201","白金４丁目","41","405"
"20120201","白金５丁目","89","1941"
"20120201","白金６丁目","106","446"
"20120201","白金台１丁目","59","2818"
"20120201","白金台２丁目","113","888"
"20120201","白金台３丁目","189","2510"
"20120201","白金台４丁目","99","2339"
"20120201","白金台５丁目","221","2141"
"20120201","新橋１丁目","482","7897"
"20120201","新橋２丁目","1100","12107"
"20120201","新橋３丁目","757","8372"
"20120201","新橋４丁目","484","5535"
"20120201","新橋５丁目","694","11133"
"20120201","新橋６丁目","398","9245"
"20120201","高輪１丁目","312","2922"
"20120201","高輪２丁目","385","10476"
"20120201","高輪３丁目","579","14935"
"20120201","高輪４丁目","390","4875"
"20120201","虎ノ門１丁目","899","15466"
"20120201","虎ノ門２丁目","413","18813"
"20120201","虎ノ門３丁目","388","7319"
"20120201","虎ノ門４丁目","268","11930"
"20120201","虎ノ門５丁目","285","4119"
"20120201","西麻布１丁目","326","2949"
"20120201","西麻布２丁目","175","2871"
"20120201","西麻布３丁目","273","2652"
"20120201","西麻布４丁目","224","2763"
"20120201","西新橋１丁目","1184","16600"
"20120201","西新橋２丁目","610","11543"
"20120201","西新橋３丁目","448","17089"
"20120201","浜松町１丁目","626","9883"
"20120201","浜松町２丁目","630","11641"
"20120201","東麻布１丁目","258","2835"
"20120201","東麻布２丁目","162","2229"
"20120201","東麻布３丁目","139","1672"
"20120201","東新橋１丁目","414","43400"
"20120201","東新橋２丁目","223","6085"
"20120201","三田１丁目","178","10310"
"20120201","三田２丁目","262","4199"
"20120201","三田３丁目","465","17591"
"20120201","三田４丁目","152","1864"
"20120201","三田５丁目","135","1099"
"20120201","南青山１丁目","370","8112"
"20120201","南青山２丁目","775","15012"
"20120201","南青山３丁目","391","6752"
"20120201","南青山４丁目","236","1670"
"20120201","南青山５丁目","757","8665"
"20120201","南青山６丁目","376","3001"
"20120201","南青山７丁目","121","1364"
"20120201","南麻布１丁目","170","1769"
"20120201","南麻布２丁目","136","3085"
"20120201","南麻布３丁目","59","1027"
"20120201","南麻布４丁目","181","1553"
"20120201","南麻布５丁目","178","2516"
"20120201","元赤坂１丁目","288","12792"
"20120201","元赤坂２丁目","6","586"
"20120201","元麻布１丁目","52","315"
"20120201","元麻布２丁目","47","620"
"20120201","元麻布３丁目","94","789"
"20120201","六本木１丁目","114","5172"
"20120201","六本木２丁目","68","1475"
"20120201","六本木３丁目","537","8962"
"20120201","六本木４丁目","333","4265"
"20120201","六本木５丁目","268","4890"
"20120201","六本木６丁目","482","15924"
"20120201","六本木７丁目","527","5449"
"20120201","台場１丁目","182","2822"
"20120201","台場２丁目","123","10188"

"平成24年 経済センサス-活動調査 港区 町丁目別事業所数及び従業者数（活動調査のため民営事業所のみ）","Ver201202",,
