"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2018",,,
"期間（自）","20180401",,,
"期間（至）","20190331",,,
"前年度末純資産残高","3489957","3495662","-5707","3"
"本年度純資産変動額 本年度差額 純行政コスト","-170613",,"-170613","0"
"本年度純資産変動額 本年度差額 財源","186486",,"186486","0"
"本年度純資産変動額 本年度差額 財源 税収等","136175",,"136175","0"
"本年度純資産変動額 本年度差額 財源 国都等補助金","50311",,"50311","0"
"本年度純資産変動額 本年度差額","15873",,"15873","0"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","-","-",,
"本年度純資産変動額 無償所管換等","19751","19751",,
"本年度純資産変動額 他団体出資等分の増加","-",,,"-"
"本年度純資産変動額 他団体出資等分の減少","-",,,"-"
"本年度純資産変動額 比例連結割合変更に伴う差額","-2","1","2","0"
"本年度純資産変動額 その他","-146","0","-146",
"本年度純資産変動額","35476","35148","328","0"
"本年度末純資産残高","3525433","3530810","-5379","3"

"連結会計財務書類（純資産変動計算書）(平成29年4月1日から平成30年3月31日)","Ver201903",,,
