"年齢[歳]","芝 男[人]","芝 女[人]","麻布 男[人]","麻布 女[人]","赤坂 男[人]","赤坂 女[人]","高輪 男[人]","高輪 女[人]","芝浦港南 男[人]","芝浦港南 女[人]"
"0～ 4",969,985,1622,1579,929,937,1611,1562,2164,1960
"5～ 9",603,644,1453,1345,734,712,1272,1296,1601,1462
"10～14",489,453,1023,990,612,580,1055,1029,1093,1108
"15～19",472,494,816,776,521,527,916,919,845,778
"20～24",863,963,1132,1297,653,651,1214,1264,970,984
"25～29",1871,1921,2240,2253,1034,1141,1683,1965,1466,1604
"30～34",1992,2160,2663,2911,1321,1450,2188,2688,2268,2652
"35～39",1990,2039,2952,3337,1543,1727,2407,3110,2830,3064
"40～44",1893,1986,2900,3358,1674,1808,2598,3304,3123,3186
"45～49",1747,1768,2729,3046,1620,1741,2445,3185,3034,2929
"50～54",1477,1445,2196,2305,1400,1470,2142,2600,2419,2116
"55～59",1106,1109,1592,1648,1132,1204,1619,1929,1575,1451
"60～64",844,848,1123,1205,833,958,1310,1507,982,1001
"65～69",880,1039,1189,1398,913,1153,1472,1863,1055,1044
"70～74",833,964,970,1260,725,963,1206,1494,694,925
"75～79",580,794,729,974,551,835,885,1336,544,853
"80～84",436,733,507,808,443,745,668,1093,405,646
"85～89",243,447,293,627,247,601,394,796,189,384
"90～94",75,250,123,374,98,303,148,455,59,166
"95～99",19,76,30,132,22,102,31,159,8,45
"100～",1,17,4,28,7,25,3,24,1,11

"平成30年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver201801",,,,,,,,,
