"年度","食品衛生法に規定する営業 施設数[所]","食品衛生法に規定する営業 監視指導[回]","都条例に規定する営業 施設数[所]","都条例に規定する営業 監視指導[回]","ふぐ取扱所 施設数[所]","ふぐ取扱所 監視指導[回]","食品衛生法施行細則 報告営業等 施設数[所]","食品衛生法施行細則 報告営業等 監視指導[回]","食鳥処理業 施設数[所]","食鳥処理業 監視指導[回]"
"2013","22777","15388","2055","2196","1088","394","4177","2126","11","10"
"2014","23053","15065","2105","2114","1137","255","4180","2221","11","6"
"2015","22980","14664","2120","2542","1165","168","4187","2242","11","3"
"2016","22777","13385","2196","2309","1191","169","4190","2567","11","6"
"2017","22635","13574","2313","2222","1167","226","4198","2117","11","1"

"平成30年度港区行政資料集　食品衛生関係営業施設数と監視指導の状況","Ver201803",,,,,,,,,
