歳入,金額（億円）,金額割合(%)
都税,50911,73.2
地方譲与税,2346,3.4
国庫支出金,3854,5.5
繰入金,3807,5.5
都債,2983,4.3
その他,5641,8.1
歳入総額,69540,100
