税目,平成28年度補正後予算額（億円）,平成28年度当初予算額（億円）,差引増減額（億円）,増減率（%）
都民税／個人,8804,9294,-490,-5.3
都民税／法人,8443,8161,282,3.5
都民税／利子割,81,119,-38,-31.7
事業税／個人,500,499,1,0.3
事業税／法人,10305,9965,339,3.4
繰入地方消費税,6389,6398,-8,-0.1
不動産取得税,796,771,25,3.3
都たばこ税,174,175,-2,-0.9
ゴルフ場利用税,6,7,0,-0.6
自動車取得税,139,148,-8,-5.6
軽油引取税,405,407,-2,-0.5
自動車税,1046,1051,-5,-0.5
鉱区税,0,0,0,-2.8
固定資産税,11801,11789,12,0.1
特別土地保有税,0,0,-,0
狩猟税,0,0,0,0.2
事業所税,1021,999,21,2.1
都市計画税,2281,2276,5,0.2
宿泊税,23,25,-2,-6.9
旧法による税,0,0,-,0
計,52215,52083,132,0.3
