都税収入見込額,金額（億円）,金額割合（%）
固定資産税,12772,23.2
法人事業税,11209,20.4
個人都民税,9516,17.3
法人都民税,9369,17
繰入地方消費税,5338,9.7
都市計画税,2490,4.5
事業所税,1098,2
自動車税,1082,2
不動産取得税,873,1.6
個人事業税,530,1
軽油引取税,402,0.7
都たばこ税,160,0.3
自動車取得税,84,0.2
都民税利子割,74,0.1
宿泊税,28,0.1
ゴルフ場利用税,6,0
その他の税,0,0
