税目,令和元年度補正後予算額（億円）,令和元年度当初予算額（億円）,差引増減額（億円）,増減率（%）
都民税／個人,9552,9516,36,0.4
都民税／法人,9672,9369,303,3.2
都民税／利子割,73,74,-1,-1.2
事業税／個人,539,530,8,1.6
事業税／法人,12047,11209,838,7.5
繰入地方消費税,5265,5338,-73,-1.4
不動産取得税,816,873,-57,-6.6
都たばこ税,159,160,-1,-0.6
ゴルフ場利用税,6,6,0,1.6
自動車取得税,93,84,9,10.4
軽油引取税,393,402,-10,-2.4
自動車税／自動車税,1026,1028,-2,-0.2
自動車税／環境性能割,49,45,4,7.9
自動車税／種別割,9,9,0,-3
鉱区税,0,0,-,0
固定資産税,12863,12772,91,0.7
特別土地保有税,0,0,-,0
狩猟税,0,0,0,5.1
事業所税,1104,1098,7,0.6
都市計画税,2489,2490,-1,0
宿泊税,28,28,0,0.1
旧法による税,0,0,-,0
計,56183,55032,1152,2.1
