都税収入見込額,金額（億円）,金額割合（%）
固定資産税,12407,23.7
法人事業税,10198,19.5
個人都民税,9125,17.4
法人都民税,8492,16.2
繰入地方消費税,5400,10.3
都市計画税,2401,4.6
事業所税,1065,2
自動車税,1052,2
不動産取得税,827,1.6
個人事業税,526,1
軽油引取税,408,0.8
自動車取得税,176,0.3
都たばこ税,157,0.3
都民税利子割,67,0.1
宿泊税,25,0
ゴルフ場利用税,6,0
その他の税,0,0
