都税収入見込額,金額（億円）,金額割合（%）
固定資産税,11908,23.4
法人事業税,9815,19.3
個人都民税,8803,17.3
法人都民税,7723,15.2
繰入地方消費税,6174,12.1
都市計画税,2304,4.5
自動車税,1045,2.1
事業所税,1032,2.0
不動産取得税,782,1.5
個人事業税,506,1.0
軽油引取税,403,0.8
都たばこ税,170,0.3
自動車取得税,136,0.3
都民税利子割,80,0.2
宿泊税,24,0.0
ゴルフ場利用税,7,0.0
その他の税,0,0.0
