"年度","区立 港南の郷 定員[人]","区立 港南の郷 入所者数[人]","民間 ありすの杜きのこ南麻布 定員[人]","民間 ありすの杜きのこ南麻布 入所者数[人]"
"2017","44","40","48","46"
"2018","44","37","48","37"
"2019","44","38","48","46"
"2020","44","35","48","45"
"2021","44","35","48","44"

"令和3年度港区行政資料集　ケアハウス利用状況","Ver202104",,,
