"区分","エリア名称","名称","所在地","緯度","経度"
"神社仏閣","芝・三田エリア","勧勝寺","東京都港区芝一丁目9番11号",35.6512134,139.7545991
"神社仏閣","芝・三田エリア","法圓寺","東京都港区芝一丁目9番14号",35.6513884,139.7545741
"神社仏閣","芝・三田エリア","正傅寺","東京都港区芝一丁目12番12号",35.6503608,139.7546353
"神社仏閣","芝・三田エリア","安楽寺","東京都港区芝一丁目12番18号",35.6505413,139.754663
"神社仏閣","芝・三田エリア","圓珠寺","東京都港区芝一丁目13番6号",35.650083,139.7544325
"神社仏閣","芝・三田エリア","了善寺","東京都港区芝一丁目13番22号",35.6499941,139.7542075
"神社仏閣","芝・三田エリア","西應寺","東京都港区芝二丁目25番6号",35.6505745,139.75128
"神社仏閣","芝・三田エリア","柳神社","東京都港区芝三丁目12番19号",35.6527852,139.7438334
"神社仏閣","芝・三田エリア","正念寺","東京都港区芝四丁目5番4号",35.6489386,139.7509107
"神社仏閣","芝・三田エリア","法音寺","東京都港区芝四丁目6番17号",35.6491636,139.7515523
"神社仏閣","芝・三田エリア","宗光寺","東京都港区芝四丁目6番21号",35.649333,139.7511578
"神社仏閣","芝・三田エリア","御穂鹿嶋神社","東京都港区芝四丁目15番1号",35.6469805,139.7492248
"神社仏閣","芝・三田エリア","元神明宮","東京都港区三田一丁目4番74号",35.6535239,139.7407392
"神社仏閣","芝・三田エリア","長久寺","東京都港区三田一丁目11番31号",35.6532155,139.7392421
"神社仏閣","芝・三田エリア","圓徳寺","東京都港区三田一丁目11番48号",35.6528461,139.7374479
"神社仏閣","芝・三田エリア","當光寺","東京都港区三田一丁目12番11号",35.6524434,139.7391561
"神社仏閣","芝・三田エリア","龍原寺","東京都港区三田一丁目13番11号",35.6525823,139.7397588
"神社仏閣","芝・三田エリア","龍生院","東京都港区三田二丁目12番5号",35.6499355,139.744014
"神社仏閣","芝・三田エリア","蓮乗寺","東京都港区三田三丁目4番7号",35.6463942,139.7435919
"神社仏閣","芝・三田エリア","御田八幡神社","東京都港区三田三丁目7番16号",35.6431779,139.7416561
"神社仏閣","芝・三田エリア","讃岐小白稲荷神社","東京都港区浜松町二丁目9番8号",35.6540715,139.7561323
"神社仏閣","芝・三田エリア","源宝院","東京都港区芝大門一丁目10番16号",35.6585458,139.7528019
"神社仏閣","芝・三田エリア","芝大神宮","東京都港区芝大門一丁目12番7号",35.6575987,139.7529963
"神社仏閣","芝・三田エリア","通元院","東京都港区芝大門二丁目12番19号",35.6546075,139.7539352
"神社仏閣","芝・三田エリア","天光院","東京都港区芝公園一丁目3番16号",35.6594762,139.7514186
"神社仏閣","芝・三田エリア","花岳院","東京都港区芝公園一丁目7番15号",35.6573987,139.7521436
"神社仏閣","芝・三田エリア","常照院","東京都港区芝公園一丁目8番9号",35.657607,139.751952
"神社仏閣","芝・三田エリア","源流院","東京都港区芝公園一丁目8番13号",35.6573793,139.7515409
"神社仏閣","芝・三田エリア","源興院","東京都港区芝公園一丁目8番15号",35.6573682,139.7512076
"神社仏閣","芝・三田エリア","観智院","東京都港区芝公園二丁目2番13号",35.6563544,139.751141
"神社仏閣","芝・三田エリア","常行院","東京都港区芝公園二丁目2番20号",35.6567071,139.7508465
"神社仏閣","芝・三田エリア","安養院","東京都港区芝公園二丁目3番2号",35.6566877,139.7519214
"神社仏閣","芝・三田エリア","宝松院","東京都港区芝公園二丁目8番2号",35.6545824,139.7511577
"神社仏閣","芝・三田エリア","多聞院","東京都港区芝公園二丁目9番15号",35.6545379,139.7514465
"神社仏閣","芝・三田エリア","日新窟","東京都港区芝公園二丁目11番5号",35.6539852,139.7518076
"神社仏閣","芝・三田エリア","最勝院","東京都港区芝公園二丁目11番25号",35.6542352,139.7510799
"神社仏閣","芝・三田エリア","雲晴院","東京都港区芝公園三丁目1番8号",35.6611926,139.7487633
"神社仏閣","芝・三田エリア","安蓮社","東京都港区芝公園三丁目1番13号",35.6603705,139.7486355
"神社仏閣","芝・三田エリア","金地院","東京都港区芝公園三丁目5番4号",35.6594761,139.7461163
"神社仏閣","芝・三田エリア","光宝寺","東京都港区芝公園三丁目5番24号",35.6602038,139.7456747
"神社仏閣","芝・三田エリア","幸稲荷神社","東京都港区芝公園三丁目5番27号",35.6605315,139.7459024
"神社仏閣","芝・三田エリア","増上寺","東京都港区芝公園四丁目7番35号",35.6574569,139.748219
"神社仏閣","芝・三田エリア","芝東照宮","東京都港区芝公園四丁目8番10号",35.6551045,139.7486023
"神社仏閣","芝・三田エリア","宝珠院（港区七福神　弁財天）","東京都港区芝公園四丁目8番55号",35.6565848,139.7443582
"神社仏閣","芝・三田エリア","妙定院","東京都港区芝公園四丁目9番8号",35.6541767,139.7464637
"神社仏閣","新橋エリア","日比谷神社","東京都港区東新橋二丁目1番1号",35.663326,139.7582847
"神社仏閣","新橋エリア","烏森神社","東京都港区新橋二丁目15番5号",35.6664811,139.7565902
"神社仏閣","新橋エリア","鏡照院","東京都港区西新橋三丁目14番3号",35.664795,139.7507463
"神社仏閣","新橋エリア","金刀比羅宮","東京都港区虎ノ門一丁目2番7号",35.6696277,139.7480158
"神社仏閣","新橋エリア","興昭院","東京都港区虎ノ門三丁目10番8号",35.6650338,139.7477855
"神社仏閣","新橋エリア","栄閑院","東京都港区虎ノ門三丁目10番10号",35.6651227,139.7479577
"神社仏閣","新橋エリア","栄立院","東京都港区虎ノ門三丁目11番7号",35.6649866,139.7473022
"神社仏閣","新橋エリア","天徳寺","東京都港区虎ノ門三丁目13番6号",35.6642339,139.7474188
"神社仏閣","新橋エリア","摂取院","東京都港区虎ノ門三丁目15番5号",35.6634062,139.7472994
"神社仏閣","新橋エリア","青龍寺","東京都港区虎ノ門三丁目22番7号",35.6614648,139.7478078
"神社仏閣","新橋エリア","光圓寺","東京都港区虎ノ門三丁目23番10号",35.6617036,139.7467301
