国名,人数（人）
中国,1042
フィリピン,111
韓国,95
メキシコ,79
ベトナム,77
イラン,67
シンガポール,64
ブラジル,24
インドネシア,21
タイ,17
その他,358
合計（４７の国と地域）,1955
