国名,人数（人）
中国,1319
韓国,412
マレーシア,177
インド,142
ベトナム,66
フィリピン,56
モンゴル,52
台湾,46
インドネシア,32
ミャンマー,28
その他,393
合計（４７の国と地域）,2723
