区分,処理水質ちっ素,処理水質りん,消費電力
（１）これまでの処理法（標準法）,100,100,100
（２）準高度処理,85,50,100
（３）高度処理（Ａ２Ｏ法）,65,40,130
（４）新たな高度処理（嫌気・同時硝化脱窒処理法）,65,40,100以下
