焼却炉,北多摩一号1系炉,北多摩一号2号炉,北多摩一号4系炉,南多摩1号炉,南多摩2号炉,北多摩二号1号炉,北多摩二号2号炉,浅川1号炉,浅川2号炉,多摩川上流1号炉,多摩川上流4号炉,八王子1号炉,八王子2号炉,清瀬4号炉,清瀬5号炉,清瀬ガス化炉
硫黄酸化物（m3N/時）測定値,0.084,0.015,<0.011,0.07,<0.012,0.065,0.34,0.11,0.02,<0.012,0.018,<0.008,<0.012,0.064,0.023,0.24
硫黄酸化物（m3N/時）基準値,4.07,4.01,4.01,3.94,3.3,4.01,4.01,2.08,2.08,4.17,4.01,1.94,2.31,4.07,4.07,4.01
ばいじん（g/m3N）測定値,0.002,<0.002,0.002,0.005,<0.002,0.009,0.005,0.08,0.013,0.008,0.002,<0.002,0.003,0.012,0.012,0.005
ばいじん（g/m3N）基準値,0.08,0.04,0.08,0.08,0.04,0.25,0.25,0.08,0.08,0.04,0.08,0.15,0.08,0.08,0.04,0.15
塩化水素（mg/m3N）測定値,<5.0,<4.4,<7.3,<4.9,<4.4,<6.0,<6.6,<5.1,<4.6,7,<5.5,<7.0,<5.2,<4.5,<5.1,<2.4
塩化水素（mg/m3N）基準値,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
窒素酸化物（ppm）測定値,27,21,9.1,4.8,12,9,6.2,7.1,88,113,5.7,15,12,134,237,23
窒素酸化物（ppm）基準値,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
