国名,人数（人）,
中国,1966,
韓国,259,
インド,164,
タイ,141,
インドネシア,92,
フィリピン,77,
メキシコ,38,
香港,31,
マレーシア,30,
台湾,29,
その他,531,
合　計(22の国と地域),3358,
