"年","東京都[人]","23区[人]","千代田区[人]","中央区[人]","港区[人]","新宿区[人]","文京区[人]","台東区[人]","墨田区[人]","江東区[人]","品川区[人]","目黒区[人]","大田区[人]","世田谷区[人]","渋谷区[人]","中野区[人]","杉並区[人]","豊島区[人]","北区[人]","荒川区[人]","板橋区[人]","練馬区[人]","足立区[人]","葛飾区[人]","江戸川区[人]"
1995,11773605,7967614,34780,63923,144885,279048,172474,153918,215681,365604,325377,243100,636276,781104,188472,306581,515803,246252,334127,176886,511415,635746,622270,424478,589414
2000,12064101,8134688,36035,72526,159398,286726,176017,156325,215979,376840,324608,250140,650331,814901,196682,309526,522103,249017,326764,180468,513575,658132,617123,421519,619953
2005,12576601,8489653,41778,98399,185861,305716,189632,165186,231173,420845,346357,264064,665674,841165,203334,310627,528587,250585,330412,191207,523083,692339,624807,424878,653944
2010,13159388,8945695,47115,122762,205131,326309,206626,175928,247606,460819,365302,268330,693373,877138,204492,314750,549569,284678,335544,203296,535824,716124,683426,442586,678967
2015,13515271,9272740,58406,141183,243283,333560,219724,198073,256274,498109,386855,277622,717082,903346,224533,328215,563997,291167,341076,212264,561916,721722,670122,442913,681298

"平成30年度港区行政資料集　都・区別昼夜間人口の推移(夜間人口)","Ver201603",,,,,,,,,,,,,,,,,,,,,,,,
