"年度","悠楽里レジデンス六本木 定員[人]","悠楽里レジデンス六本木 入所者数[人]"
"2017","30","28"
"2018","30","30"
"2019","30","29"
"2020","30","30"
"2021","30","30"

"令和3年度港区行政資料集　サービス付き高齢者向け住宅利用状況","Ver202104",
