"年度","白金の森[人]","港南の郷[人]","サン･サン赤坂[人]","南麻布[人]","台場[人]","北青山[人]","芝[人]","虎ノ門[人]"
"2013","9086","7307","8757","6990","8668","10436","7887","9102"
"2014","9217","8146","10035","7225","9579","10066","8675","9226"
"2015","9544","8360","9969","7224","9841","10951","9287","9275"
"2016","10136","8204","9805","8187","9860","11306","9847","9241"
"2017","10148","8072","10176","7158","9104","11481","10579","8720"

"平成30年度港区行政資料集　高齢者在宅サービスセンター通所介護事業延利用者数","Ver201803",,,,,,,
