"年度[西暦]","総搬入量[t]","日平均搬入量[t]","焼却量[t]","日平均焼却量[t]"
"2018","234537","752","230825","671"
"2019","194710","620","193623","568"
"2020","197501","633","195635","562"
"2021","160323","517","157051","482"
"2022","178398","574","177347","549"

"令和5年度港区行政資料集　港清掃工場取扱量","Ver202303",,,
