 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,274,771","52,829,114","888,018","7,728,562","869,084","7,333,505","2,664,099","22,873,649","2,592,287","22,057,493","1,081,343","9,278,308","1,641,311","12,948,595"
農水産品,,"373,733","3,646,793","20,582","216,345","20,582","216,338","328,096","3,216,706","265,612","2,632,649","10,553","100,864","14,502","112,878"
1,麦,"27,558","235,340",3,3,3,3,"19,557","177,198",840,"15,905",375,"3,484","7,623","54,655"
2,米,"7,545","60,999",205,"3,014",205,"3,014","2,805","19,815","2,805","19,815","2,870","26,840","1,665","11,330"
3,とうもろこし,334,"6,105",-,75,-,75,334,"6,030",334,"6,030",-,-,-,-
4,豆類,"5,837","98,429",7,70,7,70,"4,305","87,414","4,305","87,414","1,095","8,210",430,"2,735"
5,その他雑穀,195,"4,270",-,-,-,-,105,"3,155",105,"3,155",35,915,55,200
6,野菜・果物,"115,520","1,196,598","1,345","16,082","1,345","16,075","108,182","1,120,670","64,415","697,911","2,733","33,375","3,260","26,471"
7,綿花,30,575,-,63,-,63,30,512,30,512,-,-,-,-
8,その他農産品,"19,923","183,403","2,014","8,025","2,014","8,025","17,889","171,455","17,889","171,450",20,"3,823",-,100
9,羊毛,45,366,-,-,-,-,45,366,45,366,-,-,-,-
10,その他畜産品,"128,605","1,171,399","3,458","24,636","3,458","24,636","123,881","1,136,411","123,881","1,136,411","1,021","7,102",245,"3,250"
11,水産品,"68,141","689,309","13,550","164,377","13,550","164,377","50,963","493,680","50,963","493,680","2,404","17,115","1,224","14,137"
林産品,,"76,090","760,454","1,452","12,535","1,452","12,535","68,420","683,746","68,420","654,833","5,380","51,915",838,"12,258"
12,原木,310,"4,088",148,"1,241",148,"1,241",162,"2,023",162,"2,023",-,734,-,90
13,製材,"69,201","654,785","1,303","10,903","1,303","10,903","62,586","595,827","62,586","566,914","4,700","40,970",612,"7,085"
14,樹脂類,"2,191","51,284",1,241,1,241,"1,645","44,593","1,645","44,593",445,"4,440",100,"2,010"
15,木材チップ,692,"8,321",-,63,-,63,660,"7,346",660,"7,346",-,-,32,912
16,その他林産品,474,"8,841",-,4,-,4,180,"1,035",180,"1,035",210,"5,681",84,"2,121"
17,薪炭,"3,222","33,135",-,83,-,83,"3,187","32,922","3,187","32,922",25,90,10,40
鉱産品,,"320,462","2,815,020","2,092","20,769","2,092","20,769","22,425","294,598","20,925","187,541","7,165","58,562","288,780","2,441,091"
18,石炭,"7,054","109,130",-,-,-,-,"4,536","92,048","4,536","32,896",968,"5,964","1,550","11,118"
19,鉄鉱石,"1,650","2,420",-,30,-,30,"1,650","2,390",150,890,-,-,-,-
20,金属鉱,105,"3,070",-,-,-,-,105,"2,730",105,"2,730",-,340,-,-
21,砂利・砂,"218,530","1,840,556",-,391,-,391,"1,434","13,511","1,434","13,511","4,320","13,672","212,776","1,812,982"
22,石材,"58,038","488,454",189,"2,637",189,"2,637","7,194","56,452","7,194","56,452",110,"6,810","50,545","422,555"
23,原油,150,"1,604",-,3,-,3,150,"1,601",150,"1,601",-,-,-,-
24,りん鉱石,14,14,-,-,-,-,14,14,14,14,-,-,-,-
25,石灰石,"13,689","126,853",-,-,-,-,-,96,-,96,45,370,"13,644","126,387"
26,原塩,894,"7,898",1,14,1,14,853,"7,684",853,"7,684",-,-,40,200
27,非金属鉱物,"20,338","235,021","1,902","17,694","1,902","17,694","6,489","118,072","6,489","71,667","1,722","31,406","10,225","67,849"
金属機械工業品,,"2,061,066","17,431,780","313,973","2,832,119","311,142","2,812,583","610,045","5,299,264","607,000","5,254,142","568,725","4,925,444","568,323","4,374,953"
28,鉄鋼,"3,895","48,425","1,140","17,073","1,140","10,968","2,060","28,492","2,060","19,492",260,"1,305",435,"1,555"
29,鋼材,"92,001","798,199","14,219","139,492","14,219","136,465","7,560","79,855","5,861","65,530","1,938","15,872","68,284","562,980"
