 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,274,771 ","52,829,114 ","3,552,117 ","888,018 ","2,664,099 ","30,602,211 ","7,728,562 ","22,873,649 ","2,722,654 ","1,081,343 ","1,641,311 ","22,226,903 ","9,278,308 ","12,948,595 "
公共計,"2,906,760 ","24,297,821 ","939,583 ","183,508 ","756,075 ","8,191,731 ","1,472,038 ","6,719,693 ","1,967,177 ","1,006,798 ","960,379 ","16,106,090 ","8,567,235 ","7,538,855 "
ドルフィン,"4,519 ","54,889 ",-,-,-,-,-,-,"4,519 ","4,519 ",-,"54,889 ","54,889 ",-
芝浦ふ頭,"62,144 ","447,183 ",-,-,-,-,-,-,"62,144 ","1,554 ","60,590 ","447,183 ","11,638 ","435,545 "
芝浦物揚場,"7,125 ","60,097 ",-,-,-,-,-,-,"7,125 ","5,217 ","1,908 ","60,097 ","40,067 ","20,030 "
日の出ふ頭,"2,090 ","22,775 ",-,-,-,-,-,-,"2,090 ",-,"2,090 ","22,775 ",-,"22,775 "
竹芝ふ頭,"8,370 ","55,366 ",-,-,-,-,-,-,"8,370 ","5,624 ","2,746 ","55,366 ","37,258 ","18,108 "
品川岸壁,"459,539 ","3,995,538 ","287,163 ","50,316 ","236,847 ","2,527,052 ","457,350 ","2,069,702 ","172,376 ","100,194 ","72,182 ","1,468,486 ","869,790 ","598,696 "
 品川コンテナ,"273,591 ","2,460,704 ","273,591 ","47,495 ","226,096 ","2,455,718 ","446,530 ","2,009,188 ",-,-,-,"4,986 ","2,466 ","2,520 "
 品川外貿,"13,572 ","71,334 ","13,572 ","2,821 ","10,751 ","71,334 ","10,820 ","60,514 ",-,-,-,-,-,-
 品川内貿,"172,376 ","1,463,500 ",-,-,-,-,-,-,"172,376 ","100,194 ","72,182 ","1,463,500 ","867,324 ","596,176 "
月島ふ頭,716 ,"14,018 ",-,-,-,-,-,-,716 ,430 ,286 ,"14,018 ","6,394 ","7,624 "
10号西岸壁,"475,432 ","3,725,733 ",-,-,-,-,-,-,"475,432 ","287,705 ","187,727 ","3,725,733 ","2,359,859 ","1,365,874 "
10号東岸壁,"30,074 ","226,313 ",-,-,-,-,-,-,"30,074 ",54 ,"30,020 ","226,313 ",957 ,"225,356 "
東京港フェリーふ頭,"803,985 ","6,369,305 ",-,-,-,-,-,-,"803,985 ","394,095 ","409,890 ","6,369,305 ","3,263,285 ","3,106,020 "
辰巳ふ頭,"23,613 ","232,062 ",-,-,-,-,-,-,"23,613 ","11,196 ","12,417 ","232,062 ","102,229 ","129,833 "
青海コンテナふ頭（公共）,"635,207 ","5,380,422 ","625,124 ","133,192 ","491,932 ","5,251,933 ","1,014,688 ","4,237,245 ","10,083 ","8,004 ","2,079 ","128,489 ","97,699 ","30,790 "
大井水産物ふ頭,-,146 ,-,-,-,-,-,-,-,-,-,146 ,50 ,96 
大井食品ふ頭（OL）,"26,195 ","214,803 ","18,717 ",-,"18,717 ","161,293 ",-,"161,293 ","7,478 ",-,"7,478 ","53,510 ",-,"53,510 "
大井食品ふ頭（OM）,"7,079 ","69,804 ","7,079 ",-,"7,079 ","69,804 ",-,"69,804 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"11,493 ",-,-,-,"10,843 ",-,"10,843 ",-,-,-,650 ,650 ,-
若洲内貿ふ頭,"47,070 ","415,619 ",-,-,-,-,-,-,"47,070 ","32,776 ","14,294 ","415,619 ","302,134 ","113,485 "
15号地木材ふ頭,-,"31,503 ",-,-,-,"26,963 ",-,"26,963 ",-,-,-,"4,540 ","3,518 ","1,022 "
若洲建材ふ頭,"40,542 ","390,375 ",-,-,-,-,-,-,"40,542 ","4,357 ","36,185 ","390,375 ","37,392 ","352,983 "
大井建材ふ頭,"83,354 ","738,600 ",-,-,-,-,-,-,"83,354 ",-,"83,354 ","738,600 ",600 ,"738,000 "
城南島建設発生土ふ頭,"81,220 ","899,760 ",-,-,-,-,-,-,"81,220 ","81,220 ",-,"899,760 ","899,760 ",-
中央防波堤内側ばら物ふ頭,"4,018 ","177,004 ","1,500 ",-,"1,500 ","143,843 ",-,"143,843 ","2,518 ",968 ,"1,550 ","33,161 ","14,854 ","18,307 "
中央防波堤内側建設発生土ふ頭,"27,612 ","133,525 ",-,-,-,-,-,-,"27,612 ","27,612 ",-,"133,525 ","133,525 ",-
中央防波堤内側内貿ふ頭,"76,856 ","631,488 ",-,-,-,-,-,-,"76,856 ","41,273 ","35,583 ","631,488 ","330,687 ","300,801 "
東京港埠頭㈱計,"2,130,502 ","19,872,363 ","2,042,793 ","610,355 ","1,432,438 ","19,130,170 ","5,703,925 ","13,426,245 ","87,709 ","37,025 ","50,684 ","742,193 ","351,680 ","390,513 "
青海コンテナふ頭(埠頭㈱),"241,438 ","3,013,523 ","237,753 ","47,949 ","189,804 ","2,932,680 ","642,585 ","2,290,095 ","3,685 ","3,685 ",-,"80,843 ","80,423 ",420 
お台場ライナーふ頭,"27,225 ","473,358 ","22,750 ","15,898 ","6,852 ","436,253 ","382,383 ","53,870 ","4,475 ","1,325 ","3,150 ","37,105 ","12,647 ","24,458 "
大井コンテナふ頭,"1,861,839 ","16,385,482 ","1,782,290 ","546,508 ","1,235,782 ","15,761,237 ","4,678,957 ","11,082,280 ","79,549 ","32,015 ","47,534 ","624,245 ","258,610 ","365,635 "
民間計,"1,237,509 ","8,658,930 ","569,741 ","94,155 ","475,586 ","3,280,310 ","552,599 ","2,727,711 ","667,768 ","37,520 ","630,248 ","5,378,620 ","359,393 ","5,019,227 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
