 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"268,790","110,216","2,220,600","895,066","81,263","107,722","653,361","873,099","187,527","2,494","1,567,239","21,967"
,92.6%,95.3%,94.0%,96.2%,100.8%,94.8%,94.8%,96.0%,89.5%,123.7%,93.6%,105.1%
外航計,"248,388","97,326","2,046,866","783,273","71,202","96,594","561,375","775,537","177,186",732,"1,485,491","7,736"
,92.6%,94.7%,93.9%,99.0%,101.9%,94.6%,93.1%,98.7%,89.3%,111.1%,94.2%,139.4%
外航定期計,"248,388","97,326","2,046,866","783,273","71,202","96,594","561,375","775,537","177,186",732,"1,485,491","7,736"
,92.6%,94.7%,93.9%,99.0%,101.9%,94.6%,93.1%,98.7%,89.3%,111.1%,94.2%,139.4%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"22,634","13,872","205,517","112,544","3,302","13,393","33,640","109,242","19,332",479,"171,877","3,302"
,75.0%,81.9%,72.8%,101.3%,46.2%,79.9%,38.6%,99.7%,83.9%,288.6%,88.1%,202.8%
北米東岸(カリビア海含む),"7,034","2,261","63,895","18,552","2,882","2,246","27,389","18,279","4,152",15,"36,506",273
,69.2%,108.9%,83.4%,97.7%,55.9%,109.5%,77.2%,97.0%,82.9%,57.7%,88.8%,200.7%
北欧・地中海,"30,696","2,644","242,535","26,635","20,726","2,624","135,645","25,397","9,970",20,"106,890","1,238"
,134.0%,144.8%,134.6%,137.3%,170.1%,149.9%,139.0%,133.0%,92.9%,26.3%,129.4%,408.6%
南米西岸,-,-,"12,093","7,611",-,-,"1,513","7,267",-,-,"10,580",344
,-,-,51.5%,44.4%,-,-,46.3%,43.2%,-,-,52.3%,108.2%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
