 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,274,771","1,969,361","4,305,410","52,829,114","17,006,870","35,822,244","4,361,346","1,379,270","2,982,076","36,690,897","11,600,542","25,090,355"
外航計,"3,552,117","888,018","2,664,099","30,602,211","7,728,562","22,873,649","3,494,601","872,120","2,622,481","29,669,786","7,345,593","22,324,193"
外航定期計,"3,494,601","872,120","2,622,481","29,762,966","7,352,095","22,410,871","3,494,601","872,120","2,622,481","29,669,786","7,345,593","22,324,193"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"333,211","43,505","289,706","3,141,492","458,495","2,682,997","333,211","43,505","289,706","3,102,730","458,211","2,644,519"
北米東岸(カリビア海含む),"93,599","33,457","60,142","871,656","336,324","535,332","93,599","33,457","60,142","871,656","336,324","535,332"
北欧・地中海,"366,418","223,254","143,164","3,320,387","1,741,548","1,578,839","366,418","223,254","143,164","3,319,956","1,741,117","1,578,839"
南米西岸,-,-,-,"168,792","13,801","154,991",-,-,-,"168,792","13,801","154,991"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"14,263","3,485","10,778","190,348","23,303","167,045","14,263","3,485","10,778","170,281","23,303","146,978"
印パ･ペルシャ･ベンガル,-,-,-,"5,250","5,250",-,-,-,-,-,-,-
東南アジア,"1,575,284","413,595","1,161,689","13,145,069","3,393,623","9,751,446","1,575,284","413,595","1,161,689","13,130,036","3,393,321","9,736,715"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"107,442","25,463","81,979","1,024,493","232,168","792,325","107,442","25,463","81,979","1,024,493","232,168","792,325"
中国(香港含む),"1,004,384","129,361","875,023","7,895,479","1,147,583","6,747,896","1,004,384","129,361","875,023","7,881,842","1,147,348","6,734,494"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"57,516","15,898","41,618","839,245","376,467","462,778",-,-,-,-,-,-
内航計,"2,722,654","1,081,343","1,641,311","22,226,903","9,278,308","12,948,595","866,745","507,150","359,595","7,021,111","4,254,949","2,766,162"
内航定期計,"1,700,339","908,247","792,092","13,666,236","7,596,774","6,069,462","852,435","495,394","357,041","6,903,719","4,155,754","2,747,965"
北海道,"267,945","146,868","121,077","2,186,260","1,218,584","967,676","267,945","146,868","121,077","2,186,260","1,218,584","967,676"
東北,"42,126","22,006","20,120","326,163","183,005","143,158","42,126","22,006","20,120","326,163","183,005","143,158"
関東,"40,201","16,245","23,956","349,454","148,960","200,494",292,292,-,"2,756","2,756",-
伊豆諸島,"4,010","2,805","1,205","46,514","31,531","14,983",-,-,-,-,-,-
中部,"4,584",88,"4,496","94,398","19,220","75,178","4,584",88,"4,496","94,398","19,220","75,178"
近畿,"12,251","4,624","7,627","100,104","53,321","46,783","12,251","4,624","7,627","100,104","53,321","46,783"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,228,412","642,969","585,443","9,655,835","5,281,514","4,374,321","424,427","248,874","175,553","3,286,530","2,018,229","1,268,301"
沖縄,"100,810","72,642","28,168","907,508","660,639","246,869","100,810","72,642","28,168","907,508","660,639","246,869"
内航不定期,"1,022,315","173,096","849,219","8,560,667","1,681,534","6,879,133","14,310","11,756","2,554","117,392","99,195","18,197"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
