"年度","芝地区総合支所[頭]","麻布地区総合支所[頭]","赤坂地区総合支所[頭]","高輪地区総合支所[頭]","芝浦港南地区総合支所[頭]","みなとリサイクル清掃事務所[頭]","みなとリサイクル清掃事務所(都道を含む)[頭]"
"2013","26","31","16","9","6","326","381"
"2014","22","27","18","13","11","396","458"
"2015","18","32","20","11","14","406","472"
"2016","17","43","10","13","22","449","519"
"2017","11","30","10","16","5","501","603"

"平成30年度港区行政資料集　動物死体処理数","Ver201803",,,,,,
