イベント名,実施日1,会場名1,住所1,緯度情報1,経度情報1,実施日2,会場名2,住所2,緯度情報2,経度情報2,実施日3,会場名3,住所3,緯度情報3,経度情報3,実施日4,会場名4,住所4,緯度情報4,経度情報4,実施日5,会場名5,住所5,緯度情報5,経度情報5,URL
すみだボクシング祭り2022,2022-05-15,墨田区総合体育館サブアリーナ,東京都墨田区錦糸4-15-1,35.699663,139.817311,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/20220515_sumiboxing.html
【東京文化財ウィーク2024 企画事業】小村井・東あずまの文化財めぐり,2024-10-19,墨田区役所,東京都墨田区吾妻橋1-23-20,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kanko_bunka/20241019meguri.html
すみだスポーツパーク2023（すみだまつり・こどもまつり内）,2023-9-30~2023-10-01,墨田区立錦糸公園野球場,東京都墨田区錦糸4-15-1,35.699663,139.817311,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/sumidasportspark2023.html
国登録文化財「照田家住宅」特別見学会,2024-10-06,お知らせします,墨田区吾妻橋1-23-20,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kanko_bunka/terutakekoukai_2024.html
ひきこもり等の当事者と家族を応援する「すみだみんなのカフェ（居場所）」,2024‐09‐19;2024‐10‐17;2024-11-21;2024-12-19;2025-01-16;2025-02-20;2025-03-13,すみだ生涯学習センター B棟4階 講習室A・C,東京都墨田区東向島2-38-7,35.721035,139.818491,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kenko_hukushi/minnanocafe.html
介護のとびらをたたいてみよう～入門的研修～,2024-10-15~2024-10-17,すみだ生涯学習センター（ユートリア）視聴覚室,東京都墨田区東向島2-38-7,35.721040,139.818552,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kenko_hukushi/nyumonkensyu.html
「水の日」応援大使「シャワーズ」がやってくる！,2024-08-02,すみだリバーサイドホール1Fアトリウム及び墨田区役所うるおい広場,東京都墨田区吾妻橋1-23-20,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kankyo_chiiki/mizunohi.html
【無料セミナー】障害当事者と一緒に考える！「障害」とはなにか？,2023-11-19,墨田区役所13階131会議室,墨田区吾妻橋1-23-20,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/20231119_DET_sumida.html
日本語ボランティア養成講座（初級）,2024-10-3;2024-10-7;2024-10-10;2024-10-17;2024-10-21;2024-10-24;2024-10-28;2024-10-31,墨田区役所 12階 122会議室,東京都墨田区吾妻橋1-23-20,35.710798,139.801506,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kanko_bunka/nihongo_volunteer2.html
すみだボクシング祭り2024,2024-05-18,ひがしんアリーナ（墨田区総合体育館）3階メインアリーナ,東京都墨田区錦糸4-15-1,35.699663,139.817311,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/sumida-boxing-2024.html
観戦無料！「2022全日本ボクシング選手権大会」,2022-11-22~2022-11-27,墨田区立総合体育館メインアリーナ,東京都墨田区錦糸4-15-1,35.699663,139.817311,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/2022all_japan_boxing.html
女性の健康づくり応援キャンペーン,2024-03-17~2024-04-17,ひきふね図書館,東京都墨田区京島1-36-5,35.717060,139.819494,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kenko_hukushi/jyoseikenkou.html
～Your Marriage＊Tokyo 2020 Torch～,2024-07-09~2024-07-26;2023-08-20~2023-08-28,墨田区役所本庁舎1階4番窓口,東京都墨田区吾妻橋1-23-20,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/sumida_2020torch.html
みんなでボッチャ体験会・練習会,2024-08-24,2024-09-23,2024-11-30,2024-12-15,2025-01-25,旧隅田小学校体育館又は横川小学校,東京都墨田区墨田5-49-5,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/minnade_boccia.html
隅田川花火大会,2021-10-23,隅田川,墨田区・台東区,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/kanko_bunka/ta402000.html
公益財団法人日本パラスポーツ協会公認　令和5年度墨田区初級パラスポーツ指導員養成講習会,2024-02-03;2024-02-17;2024-02-24;2024-03-02,墨田区総合体育館,東京都墨田区錦糸4-15-1,,,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/parasupo-tusidouinn.html
区民スポーツ祭「バドミントン大会」,2024-09-22;2024-09-29,ひがしんアリーナ（墨田区総合体育館）,東京都墨田区錦糸4-15-1,35.699519,139.817181,,,,,,,,,,,,,,,,,,,,,https://www.city.sumida.lg.jp/eventcalendar/sports_kyouyou/m-badminton.html
