"年度[西暦]","特定建設作業実施届出書（A法令）[件]","特定建設作業実施届出書（B法令）[件]","石綿飛散防止方法等計画届出書（C法令）[件]","特定粉じん排出等作業実施届出書（D法令）[件]","土壌汚染状況調査報告書（C法令）[件]"
"2018","604","397","202","203","3"
"2019","673","469","213","221","6"
"2020","587","396","178","181","5"
"2021","640","423","108","109","3"
"2022","608","402","126","129","5"

"令和5年度港区行政資料集　公害関連法令等による届出件数","Ver202303",,,,
