"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25"
"赤坂ルート","六本木ヒルズ","16","六本木ヒルズ","8:00","8:30","9:00","9:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00"
"赤坂ルート","六本木ヒルズ","32","六本木けやき坂","8:02","8:32","9:02","9:32","10:02","10:32","11:02","11:32","12:02","12:32","13:02","13:32","14:02","14:32","15:02","15:32","16:02","16:32","17:02","17:32","18:02","18:32","19:02","19:32","20:02"
"赤坂ルート","六本木ヒルズ","33","六本木七丁目南","8:05","8:35","9:05","9:35","10:05","10:35","11:05","11:35","12:05","12:35","13:05","13:35","14:05","14:35","15:05","15:35","16:05","16:35","17:05","17:35","18:05","18:35","19:05","19:35","20:05"
"赤坂ルート","六本木ヒルズ","34","六本木駅前","8:05","8:35","9:05","9:35","10:05","10:35","11:05","11:35","12:05","12:35","13:05","13:35","14:05","14:35","15:05","15:35","16:05","16:35","17:05","17:35","18:05","18:35","19:05","19:35","20:05"
"赤坂ルート","六本木ヒルズ","35","六本木交差点北","8:06","8:36","9:06","9:36","10:06","10:36","11:06","11:36","12:06","12:36","13:06","13:36","14:06","14:36","15:06","15:36","16:06","16:36","17:06","17:36","18:06","18:36","19:06","19:36","20:06"
"赤坂ルート","六本木ヒルズ","36","六本木七丁目","8:07","8:37","9:07","9:37","10:07","10:37","11:07","11:37","12:07","12:37","13:07","13:37","14:07","14:37","15:07","15:37","16:07","16:37","17:07","17:37","18:07","18:37","19:07","19:37","20:07"
"赤坂ルート","六本木ヒルズ","37","乃木坂駅入口","8:10","8:40","9:10","9:40","10:10","10:40","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:10","16:40","17:10","17:40","18:10","18:40","19:10","19:40","20:10"
"赤坂ルート","六本木ヒルズ","38","赤坂小前","8:12","8:42","9:12","9:42","10:12","10:42","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:12","16:42","17:12","17:42","18:12","18:42","19:12","19:42","20:12"
"赤坂ルート","六本木ヒルズ","39","赤坂五丁目交番前","8:15","8:45","9:15","9:45","10:15","10:45","11:15","11:45","12:15","12:45","13:15","13:45","14:15","14:45","15:15","15:45","16:15","16:45","17:15","17:45","18:15","18:45","19:15","19:45","20:15"
"赤坂ルート","六本木ヒルズ","40","赤坂駅前","8:17","8:47","9:17","9:47","10:17","10:47","11:17","11:47","12:17","12:47","13:17","13:47","14:17","14:47","15:17","15:47","16:17","16:47","17:17","17:47","18:17","18:47","19:17","19:47","20:17"
"赤坂ルート","六本木ヒルズ","40-2","溜池山王駅","8:20","8:50","9:20","9:50","10:20","10:50","11:20","11:50","12:20","12:50","13:20","13:50","14:20","14:50","15:20","15:50","16:20","16:50","17:20","17:50","18:20","18:50","19:20","19:50","20:20"
"赤坂ルート","六本木ヒルズ","41","山王下","8:25","8:55","9:25","9:55","10:25","10:55","11:25","11:55","12:25","12:55","13:25","13:55","14:25","14:55","15:25","15:55","16:25","16:55","17:25","17:55","18:25","18:55","19:25","19:55","20:25"
"赤坂ルート","六本木ヒルズ","42","赤坂見附駅","8:26","8:56","9:26","9:56","10:26","10:56","11:26","11:56","12:26","12:56","13:26","13:56","14:26","14:56","15:26","15:56","16:26","16:56","17:26","17:56","18:26","18:56","19:26","19:56","20:26"
"赤坂ルート","六本木ヒルズ","43","豊川稲荷前","8:28","8:58","9:28","9:58","10:28","10:58","11:28","11:58","12:28","12:58","13:28","13:58","14:28","14:58","15:28","15:58","16:28","16:58","17:28","17:58","18:28","18:58","19:28","19:58","20:28"
"赤坂ルート","六本木ヒルズ","44","赤坂地区総合支所前","8:29","8:59","9:29","9:59","10:29","10:59","11:29","11:59","12:29","12:59","13:29","13:59","14:29","14:59","15:29","15:59","16:29","16:59","17:29","17:59","18:29","18:59","19:29","19:59","20:29"
"赤坂ルート","六本木ヒルズ","45","高橋是清翁記念公園前","8:30","9:00","9:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30"
"赤坂ルート","六本木ヒルズ","46","赤坂郵便局前","8:31","9:01","9:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:01","16:31","17:01","17:31","18:01","18:31","19:01","19:31","20:01","20:31"
"赤坂ルート","六本木ヒルズ","47","青山一丁目駅前","8:33","9:03","9:33","10:03","10:33","11:03","11:33","12:03","12:33","13:03","13:33","14:03","14:33","15:03","15:33","16:03","16:33","17:03","17:33","18:03","18:33","19:03","19:33","20:03","20:33"
"赤坂ルート","六本木ヒルズ","48","南青山一丁目","8:34","9:04","9:34","10:04","10:34","11:04","11:34","12:04","12:34","13:04","13:34","14:04","14:34","15:04","15:34","16:04","16:34","17:04","17:34","18:04","18:34","19:04","19:34","20:04","20:34"
"赤坂ルート","六本木ヒルズ","49","赤坂八丁目","8:36","9:06","9:36","10:06","10:36","11:06","11:36","12:06","12:36","13:06","13:36","14:06","14:36","15:06","15:36","16:06","16:36","17:06","17:36","18:06","18:36","19:06","19:36","20:06","20:36"
"赤坂ルート","六本木ヒルズ","50","山王病院前","8:37","9:07","9:37","10:07","10:37","11:07","11:37","12:07","12:37","13:07","13:37","14:07","14:37","15:07","15:37","16:07","16:37","17:07","17:37","18:07","18:37","19:07","19:37","20:07","20:37"
"赤坂ルート","六本木ヒルズ","51","乃木公園","8:39","9:09","9:39","10:09","10:39","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:09","16:39","17:09","17:39","18:09","18:39","19:09","19:39","20:09","20:39"
