"年度[西暦]","田町[人]","品川[人]","利用者数[人]"
2013,140772,283105,423877
2014,150075,313867,463942
2015,173232,356734,529966
2016,195317,402639,597956
2017,,,730738

"平成30年度港区行政資料集　台場シャトルバス「お台場レインボーバス」の利用者数","Ver201803",,
