"年月日[西暦]","幼稚園名","3歳児組数[組]","園児数(3歳児男)[人]","園児数(3歳児女)[人]","4歳児組数[組]","園児数(4歳児男)[人]","園児数(4歳児女)[人]","5歳児組数[組]","園児数(5歳児男)[人]","園児数(5歳児女)[人]"
"20240407","赤羽幼稚園","―","―","―","1","1","9","1","8","3"
"20240407","芝浦幼稚園","2","12","13","2","18","12","1","11","4"
"20240407","高輪幼稚園","1","4","5","1","10","10","1","4","6"
"20240407","白金台幼稚園","2","14","9","2","17","19","1","15","13"
"20240407","三光幼稚園","1","7","8","1","4","9","1","8","8"
"20240407","港南幼稚園","2","9","18","2","16","14","2","14","20"
"20240407","麻布幼稚園","2","10","12","1","14","12","1","10","11"
"20240407","南山幼稚園","1","5","4","1","14","11","1","13","10"
"20240407","本村幼稚園","―","―","―","1","2","0","1","3","2"
"20240407","中之町幼稚園","2","16","14","1","12","6","1","14","13"
"20240407","青南幼稚園","1","2","8","1","10","7","1","15","8"
"20240407","にじのはし幼稚園","1","7","9","1","9","0","1","5","7"

"港区立幼稚園　園児数・組数一覧","Ver202404",,,,,,,,,
