"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2004120101,"港南",2,4,27,31,,,,,15,,3,"N",,,
2004120102,"港南",2,8,33,41,,,,,11,,3,"NW",,,
2004120103,"港南",2,7,36,43,,,,,10,,2,"NE",,,
2004120104,"港南",2,11,36,47,,,,,11,,2,"ENE",,,
2004120105,"港南",1,8,34,42,,,,,2,,1,"E",,,
2004120106,"港南",1,17,35,52,,,,,8,,2,"W",,,
2004120107,"港南",2,30,36,66,,,,,5,,3,"NNE",,,
2004120108,"港南",3,38,35,73,,,,,8,,5,"W",,,
2004120109,"港南",4,65,38,103,,,,,15,,4,"W",,,
2004120110,"港南",5,74,42,116,,,,,21,,5,"NW",,,
2004120111,"港南",5,74,48,122,,,,,30,,6,"WNW",,,
2004120112,"港南",4,41,44,85,,,,,40,,10,"ENE",,,
2004120113,"港南",3,25,40,65,,,,,29,,5,"E",,,
2004120114,"港南",3,23,38,61,,,,,20,,8,"WSW",,,
2004120115,"港南",4,20,40,60,,,,,16,,4,"ENE",,,
2004120116,"港南",8,60,57,117,,,,,32,,4,"SSE",,,
2004120117,"港南",13,94,62,156,,,,,22,,5,"WSW",,,
2004120118,"港南",6,98,64,162,,,,,39,,3,"S",,,
2004120119,"港南",6,95,65,160,,,,,39,,3,"SSE",,,
2004120120,"港南",8,104,66,170,,,,,41,,4,"SSE",,,
2004120121,"港南",9,93,66,159,,,,,45,,3,"NE",,,
2004120122,"港南",6,107,61,168,,,,,30,,0,"NNE",,,
2004120123,"港南",5,79,55,134,,,,,27,,0,"NNE",,,
2004120124,"港南",4,121,55,176,,,,,31,,2,"ENE",,,
2004120201,"港南",4,102,50,152,,,,,34,,1,"WSW",,,
2004120202,"港南",3,90,43,133,,,,,26,,2,"SW",,,
