都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,住所,方書,緯度,経度,電話番号,内線番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
131164,1,東京都,豊島区,蓮華山金剛院仏性寺山門,,,,豊島区指定有形文化財,建造物,,豊島区長崎1-9-2　金剛院,,139.69556,35.72727,,,,,,長崎1-9-2　宗教法人　金剛院,1994/6/27,,,,,,,,,,,,
131164,2,東京都,豊島区,旧江戸川乱歩邸土蔵,,,,豊島区指定有形文化財,建造物,,豊島区西池袋5-15-17,,139.70273,35.73194,,,,,,西池袋3-34-1　学校法人　立教学院,2003/3/26,,,,,,,,,,,,
131164,3,東京都,豊島区,旧丹羽家腕木門,,,,豊島区指定有形文化財,建造物,,豊島区駒込3-12-8,,139.74234,35.73767,,,,,,南池袋2-45-1　豊島区,2007/8/3,,,,,,,,,,,,
131164,4,東京都,豊島区,旧鈴木家住宅,,,,豊島区指定有形文化財,建造物,,豊島区東池袋5-52-3,,139.72905,35.72607,,,,,,南池袋2-45-2　豊島区,2012/3/30,,,,,,,,,,,,
131164,5,東京都,豊島区,木造釈迦如来坐像,,,,豊島区指定有形文化財,絵画・彫刻・工芸品,,豊島区駒込7-4-14　勝林寺,,139.73781,35.74035,,,,,,駒込7-4-14　宗教法人　勝林寺,1993/8/10,,,,,,,,,,,,
131164,6,東京都,豊島区,木造聖観音立像,,,,豊島区指定有形文化財,絵画・彫刻・工芸品,,豊島区池袋本町2-3-3　重林寺,,139.70988,35.73986,,,,,,池袋本町2-3-3　宗教法人　重林寺,2004/4/30,,,,,,,,,,,,
131164,7,東京都,豊島区,染井遺跡出土化粧道具,,,,豊島区指定有形文化財,考古資料,,豊島区西池袋2-30-15　文化財資料調査室,,139.70688,35.72734,,,,,,南池袋2-45-1　豊島区教育委員会,2004/4/30,,,,,,,,,,,,
131164,8,東京都,豊島区,鹿碑（寛政七年在銘）,,,,豊島区指定有形文化財,歴史資料,,豊島区駒込1-15-10,,139.75064,35.73513,,,,,,個人,1998/10/13,,,,,,,,,,,,
131164,9,東京都,豊島区,?賜豬碑（嘉永二年在銘）,,,,豊島区指定有形文化財,歴史資料,,豊島区駒込1-15-10,,139.75064,35.73513,,,,,,個人,1998/10/13,,,,,,,,,,,,
131164,10,東京都,豊島区,長崎獅子舞用具一式（道具54点、衣装23点）,,,,豊島区指定有形民俗文化財,民俗芸能用具,,豊島区長崎19-4　長崎神社,,139.69516,35.72837,,,,,,【保有者】長崎神社氏子会,1992/11/10,,,,,,,,,,,,
131164,11,東京都,豊島区,冨士元囃子用具一式（楽器9点、寿獅子、大黒舞用道具類11点,,,,豊島区指定有形民俗文化財,民俗芸能用具,,豊島区要町1-38-9,,139.69707,35.73577,,,,,,【所有者】冨士元囃子連中（代表　本橋勇）,2002/9/27,,,,,,,,,,,,
131164,12,東京都,豊島区,長崎獅子舞,,,,豊島区指定無形民俗文化財,民俗芸能,,豊島区長崎1-9-4　長崎神社,,139.69556,35.72727,,,,,,【保持団体】長崎神社獅子連,1992/11/10,,,,,,,,,,,,
131164,13,東京都,豊島区,冨士元囃子,,,,豊島区指定無形民俗文化財,民俗芸能,,豊島区【伝承地】要町1-38-9,,139.7159,35.73237,,,,,,【保持団体】冨士元囃子連中（代表　本橋勇）,2002/9/27,,,,,,,,,,,,
131164,14,東京都,豊島区,雑司が谷鬼子母神御会式万燈練供養,,,,豊島区指定無形民俗文化財,風俗習慣,,豊島区雑司が谷3-15-20,,139.71371,35.72192,,,,,,【伝承団体】御会式連合会,2015/3/31,,,,,,,,,,,,
131164,15,東京都,豊島区,池袋富士塚,,,,豊島区指定史跡,,,豊島区池袋本町3-14-1　氷川神社境内,,139.71114,35.74363,,,,,,池袋本町3-14-1　宗教法人　氷川神社,1998/6/11,,,,,,,,,,,,
131164,16,東京都,豊島区,重林寺観音堂内厨子覆屋,,,,豊島区登録有形文化財,建造物,,豊島区池袋本町2-3-3　重林寺,,139.70988,35.73986,,,,,,池袋本町2-3-3　宗教法人　重林寺,2006/2/27,,,,,,,,,,,,
131164,17,東京都,豊島区,安田家住宅,,,,豊島区登録有形文化財,建造物,,豊島区高松2-48-3,,139.70076,35.73914,,,,,,個人,2015/3/31,,,,,,,,,,,,
131164,18,東京都,豊島区,渡辺弘行・隆根アトリエ,,,,豊島区登録有形文化財,建造物,,豊島区長崎6-18-3,,139.6812,35.73505,,,,,,個人,2019/10/22,,,,,,,,,,,,
131164,19,東京都,豊島区,木造阿弥陀如来立像,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
131164,20,東京都,豊島区,木造観音菩薩像（右）,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
131164,21,東京都,豊島区,木造観音菩薩像（左）,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
131164,22,東京都,豊島区,木造弘法大師坐像,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
131164,23,東京都,豊島区,木造興教大師坐像,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
131164,24,東京都,豊島区,木造地蔵菩薩坐像,,,,豊島区登録有形文化財,絵画・彫刻・工芸品,,豊島区駒込6-11-4　西福寺,,139.74249,35.73885,,,,,,駒込6-11-4　宗教法人　西福寺,1992/11/10,,,,,,,,,,,,
