都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,データ名称,データ概要,データ形式,分類,更新頻度,URL,API対応有無,ライセンス,登録日,最終更新日,備考
131164,1,東京都,豊島区,AED設置箇所一覧,,csv,防災,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,2,東京都,豊島区,介護サービス事業所一覧,,csv,福祉,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,3,東京都,豊島区,文化財一覧（国もしくは地方公共団体が指定、登録、選定等行った文化財の一覧）,,csv,文化,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,4,東京都,豊島区,観光施設一覧,,csv,観光,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,5,東京都,豊島区,イベント一覧（地方公共団体にて開催されるイベントの一覧）,,csv,観光,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,6,東京都,豊島区,公衆無線LANアクセスポイント一覧 (利用可能範囲),,csv,情報,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,7,東京都,豊島区,公衆トイレ一覧,,csv,環境,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,8,東京都,豊島区,消防水利施設一覧,,csv,防災,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,9,東京都,豊島区,指定緊急避難場所一覧,,csv,防災,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,10,東京都,豊島区,地域・年齢別人口,,csv,情報,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,11,東京都,豊島区,公共施設一覧,,csv,施設,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,12,東京都,豊島区,子育て施設一覧（幼稚園、保育園、認定こども園の一覧）,,csv,子育て,1年に1回,,無,CC BYに準拠,,2022/8/22,
131164,13,東京都,豊島区,オープンデータ一覧,,csv,その他,1年に1回,,無,CC BYに準拠,,2022/8/22,
